web-scraper-order,web-scraper-start-url,name,address-street,address-locality,address-region,address-postal-code,phone,appointment-urlPathname,website,contact-phone-number,link-website,link-website-href,contact-name,contact-hours,contact-name-alt
"1584306483-6131","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Oviedo","8010 Red Bug Lake Road","Oviedo","FL","32765","407-200-2512","/schedule-urgent-care?location=8010%2BRed%2BBug%2BLake%2BRoad%252C%2BOviedo%252C%2BFL%252C%2B32765","https://centracare.adventhealth.com/urgent-care/oviedo","407-200-2512","AdventHealth Centra Care Oviedo","https://centracare.adventhealth.com/urgent-care/oviedo","AdventHealth Centra Care Oviedo","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as Florida Hospital Centra Care"
"1584306491-6133","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Orange Lake","8201 West Irlo Bronson Highway","Kissimmee","FL","34747","407-465-0846","/schedule-urgent-care?location=8201%2BWest%2BIrlo%2BBronson%2BHighway%252C%2BKissimmee%252C%2BFL%252C%2B34747","https://centracare.adventhealth.com/urgent-care/orange-lake","407-465-0846","AdventHealth Centra Care Orange Lake","https://centracare.adventhealth.com/urgent-care/orange-lake","AdventHealth Centra Care Orange Lake","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as Florida Hospital Centra Care"
"1584306415-6106","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","null","1255 State Road 60 East, Suite 300","Lake Wales","FL","33853","863-259-6534","null","null","","null","","","",""
"1584306433-6116","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Winter Park","3099 Aloma Avenue","Winter Park","FL","32792","407-951-6302","/schedule-urgent-care?location=3099%2BAloma%2BAvenue%252C%2BWinter%2BPark%252C%2BFL%252C%2B32792","https://centracare.adventhealth.com/urgent-care/winter-park","407-951-6302","AdventHealth Centra Care Winter Park","https://centracare.adventhealth.com/urgent-care/winter-park","AdventHealth Centra Care Winter Park","Sunday: 8 am to 5 pm

Monday: 8 am to midnight

Tuesday: 8 am to midnight

Wednesday: 8 am to midnight

Thursday: 8 am to midnight

Friday: 8 am to midnight

Saturday: 8 am to 5 pm","Formerly known as Florida Hospital Centra Care"
"1584306523-6141","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Lake Buena Vista","12500 South Apopka Vineland Road","Orlando","FL","32836","407-934-2273","/schedule-urgent-care?location=12500%2BSouth%2BApopka%2BVineland%2BRoad%252C%2BOrlando%252C%2BFL%252C%2B32836","https://centracare.adventhealth.com/urgent-care/lake-buena-vista","407-934-2273","AdventHealth Centra Care Lake Buena Vista","https://centracare.adventhealth.com/urgent-care/lake-buena-vista","AdventHealth Centra Care Lake Buena Vista","Sunday: Open 24 hours

Monday: Open 24 hours

Tuesday: Open 24 hours

Wednesday: Open 24 hours

Thursday: Open 24 hours

Friday: Open 24 hours

Saturday: Open 24 hours","Formerly known as Florida Hospital Centra Care"
"1584306462-6125","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care South Orange","2609 South Orange Avenue","Orlando","FL","32806","407-914-2926","/schedule-urgent-care?location=2609%2BSouth%2BOrange%2BAvenue%252C%2BOrlando%252C%2BFL%252C%2B32806","https://centracare.adventhealth.com/urgent-care/south-orange","407-914-2926","AdventHealth Centra Care South Orange","https://centracare.adventhealth.com/urgent-care/south-orange","AdventHealth Centra Care South Orange","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as Florida Hospital Centra Care"
"1584306508-6137","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Leesburg","1103 North 14th Street","Leesburg","FL","34748","352-314-2328","/schedule-urgent-care?location=1103%2BNorth%2B14th%2BStreet%252C%2BLeesburg%252C%2BFL%252C%2B34748","https://centracare.adventhealth.com/urgent-care/leesburg","352-314-2328","AdventHealth Centra Care Leesburg","https://centracare.adventhealth.com/urgent-care/leesburg","AdventHealth Centra Care Leesburg","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as Florida Hospital Centra Care"
"1584306540-6146","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Daytona","1014 West International Speedway Boulevard","Daytona","FL","32114","386-872-5044","/schedule-urgent-care?location=1014%2BWest%2BInternational%2BSpeedway%2BBoulevard%252C%2BDaytona%252C%2BFL%252C%2B32114","https://centracare.adventhealth.com/urgent-care/daytona","386-872-5044","AdventHealth Centra Care Daytona","https://centracare.adventhealth.com/urgent-care/daytona","AdventHealth Centra Care Daytona","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as Florida Hospital Centra Care"
"1584306457-6124","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care South Tampa","301 North Dale Mabry Highway","Tampa","FL","33609","813-284-0985","/schedule-urgent-care?location=301%2BNorth%2BDale%2BMabry%2BHighway%252C%2BTampa%252C%2BFL%252C%2B33609","https://centracare.adventhealth.com/urgent-care/south-tampa","813-284-0985","AdventHealth Centra Care South Tampa","https://centracare.adventhealth.com/urgent-care/south-tampa","AdventHealth Centra Care South Tampa","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as Florida Hospital Centra Care"
"1584306415-6107","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","null","105 South Banana River Boulevard, 1st Floor","Cocoa Beach","FL","32931","321-985-0415","null","null","","null","","","",""
