web-scraper-order,web-scraper-start-url,Name,Address,Details
"1584464829-7502","https://www.naccho.org/membership/lhd-directory?searchType=standard&lhd-search=&lhd-state=AK&page=2","Juneau Public Health Center","3412 Glacier Hwy
Juneau, AK 99801-9501","Phone: (907) 465-3353                                Email Department"
"1584464829-7492","https://www.naccho.org/membership/lhd-directory?searchType=standard&lhd-search=&lhd-state=AK&page=2","Bethel Center and Itinerant Nursing Services","PO BOX 1048
Bethel, AK 99559-1048","Phone: (907) 543-2110                                Email Department"
"1584464829-7517","https://www.naccho.org/membership/lhd-directory?searchType=standard&lhd-search=&lhd-state=AK&page=2","Wrangell Public Health Center","PO BOX 379
Wrangell, AK 99929-0379","Phone: (907) 874-3615                                Email Department"
"1584464829-7497","https://www.naccho.org/membership/lhd-directory?searchType=standard&lhd-search=&lhd-state=AK&page=2","Fairbanks Regional Public Health Center Interior Region","1025 W Barnette St
Fairbanks, AK 99701-4539","Phone: (907) 452-1776                                Email Department"
"1584464829-7516","https://www.naccho.org/membership/lhd-directory?searchType=standard&lhd-search=&lhd-state=AK&page=2","Valdez Public Health Center","PO BOX 950
Valdez, AK 99686-0950","Phone: (907) 835-4612                                Email Department"
"1584464829-7505","https://www.naccho.org/membership/lhd-directory?searchType=standard&lhd-search=&lhd-state=AK&page=2","Kodiak Public Health Center","316 Mission Rd Ste 207
Kodiak, AK 99615-7327","Phone: (907) 486-3319                                Email Department"
"1584464829-7509","https://www.naccho.org/membership/lhd-directory?searchType=standard&lhd-search=&lhd-state=AK&page=2","Petersburg Public Health Center","PO BOX 377
Petersburg, AK 99833-0377","Phone: (907) 772-4611                                Email Department"
"1584464829-7491","https://www.naccho.org/membership/lhd-directory?searchType=standard&lhd-search=&lhd-state=AK&page=2","Anchorage Health Department","825 L ST
Anchorage, AK 99501-3337","Phone: (907) 343-6718                                Email Department                Visit Website"
"1584464829-7498","https://www.naccho.org/membership/lhd-directory?searchType=standard&lhd-search=&lhd-state=AK&page=2","Fort Yukon Public Health Center","PO BOX 316
Fort Yukon, AK 99740-0316","Phone: (907) 662-2460                                Email Department"
"1584464829-7503","https://www.naccho.org/membership/lhd-directory?searchType=standard&lhd-search=&lhd-state=AK&page=2","Kenai Public Health Center","630 Barnacle Way Ste A
Kenai, AK 99611-7732","Phone: (907) 335-3400                                Email Department"
"1584464829-7515","https://www.naccho.org/membership/lhd-directory?searchType=standard&lhd-search=&lhd-state=AK&page=2","Tok Public Health Center","PO BOX 186
Tok, AK 99780-0186","Phone: (907) 883-4101                                Email Department"
"1584464829-7514","https://www.naccho.org/membership/lhd-directory?searchType=standard&lhd-search=&lhd-state=AK&page=2","Southwest Region","3601 C St Ste 540
Anchorage, AK 99503-5932","Phone: (907) 269-8000                                Email Department"
"1584464829-7507","https://www.naccho.org/membership/lhd-directory?searchType=standard&lhd-search=&lhd-state=AK&page=2","Matanuska-Susitna (Mat-Su) Public Health Center","3223 E Palmer Wasilla Hwy Ste 3
Wasilla, AK 99654-7277","Phone: (907) 352-6600                                Email Department"
"1584464829-7504","https://www.naccho.org/membership/lhd-directory?searchType=standard&lhd-search=&lhd-state=AK&page=2","Ketchikan Public Health Center","3054 5Th Ave
Ketchikan, AK 99901-5773","Phone: (907) 225-4350                                Email Department"
"1584464829-7511","https://www.naccho.org/membership/lhd-directory?searchType=standard&lhd-search=&lhd-state=AK&page=2","Sitka Public Helath Center","210 Moller Ave
Sitka, AK 99835-7100","Phone: (907) 747-3255                                Email Department"
"1584464829-7494","https://www.naccho.org/membership/lhd-directory?searchType=standard&lhd-search=&lhd-state=AK&page=2","Craig Public Health Center","PO BOX 130
Craig, AK 99921-0130","Phone: (907) 826-3433                                Email Department"
"1584464829-7493","https://www.naccho.org/membership/lhd-directory?searchType=standard&lhd-search=&lhd-state=AK&page=2","Cordova Public Health Center South Central Region","PO BOX 359
Cordova, AK 99574-0359","Phone: (907) 424-4547                                Email Department"
"1584464829-7501","https://www.naccho.org/membership/lhd-directory?searchType=standard&lhd-search=&lhd-state=AK&page=2","Homer Public Health Center","195 E Bunnell Ave Ste C
Homer, AK 99603-7815","Phone: (907) 235-8857                                Email Department"
"1584464829-7499","https://www.naccho.org/membership/lhd-directory?searchType=standard&lhd-search=&lhd-state=AK&page=2","Galena Public Health Center - Frontier Region","PO BOX 64
Galena, AK 99741-0064","Phone: (907) 452-1776                                Email Department"
"1584464829-7495","https://www.naccho.org/membership/lhd-directory?searchType=standard&lhd-search=&lhd-state=AK&page=2","Delta Junction Public Health Center","PO BOX 1511
Delta Junction, AK 99737-1511","Phone: (907) 895-4292                                Email Department"
"1584464829-7506","https://www.naccho.org/membership/lhd-directory?searchType=standard&lhd-search=&lhd-state=AK&page=2","Maniilaq Association","PO BOX 170
Kotzebue, AK 99752-0170","Phone: (907) 442-7150                                Email Department                Visit Website"
"1584464829-7512","https://www.naccho.org/membership/lhd-directory?searchType=standard&lhd-search=&lhd-state=AK&page=2","South Central Region","3601 C St Ste 540
Anchorage, AK 99503-5932","Phone: (907) 269-8000                                Email Department"
