web-scraper-order,web-scraper-start-url,location-name,location-address-street,location-contact-phone-main,location-contact-url-main
"1584435293-7321","https://searhc.org/locations/?locs_by_comm=all&locs_by_svc=68","Hoonah Health Center","490 Gartina Highway, Hoonah, AK 99829
                                    PO Box 103, Hoonah, AK 99829","P: 907.945.2735","https://searhc.org/location/hoonah-health-center/"
"1584435293-7320","https://searhc.org/locations/?locs_by_comm=all&locs_by_svc=68","Haines Health Center","131 1st Avenue, Haines, AK 99827
                                    PO Box 1549, Haines, AK 99827","P: 907.766.6300","https://searhc.org/location/haines-health-center/"
"1584435293-7317","https://searhc.org/locations/?locs_by_comm=all&locs_by_svc=68","Express Care Clinic Craig","333 Cold Storage Drive, Suite 203 Craig, AK 99921
                                    P.O. Box 1260, Craig AK 99921 (mailing address)","P: 907.755.4950","https://searhc.org/location/searhc-express-care-clinic-craig/"
"1584435293-7315","https://searhc.org/locations/?locs_by_comm=all&locs_by_svc=68","Alma Cook Health Center in Hydaburg","Eighth Street Extension, Hydaburg, AK, 99922
                                    PO Box 69, Hydaburg, AK, 99922","P: 907.285.3462","https://searhc.org/location/hydaburg-alma-cook-health-center/"
"1584435293-7326","https://searhc.org/locations/?locs_by_comm=all&locs_by_svc=68","Mountainside Family Clinic","209 Moller Avenue., Sitka","P: 907.747.1722","https://searhc.org/location/mountainside-family-clinic/"
"1584435293-7329","https://searhc.org/locations/?locs_by_comm=all&locs_by_svc=68","Pelican Health Center","101 Salmon Way, Pelican, AK 99832
                                    PO Box 101, Pelican, AK 99832","P: 907.735.2250","https://searhc.org/location/pelican-health-center/"
"1584435293-7318","https://searhc.org/locations/?locs_by_comm=all&locs_by_svc=68","Front Street Clinic Juneau","225 Front Street, Suite 202, Juneau, AK 99801","P: 907.586.4230","https://searhc.org/location/front-street-clinic/"
"1584435293-7327","https://searhc.org/locations/?locs_by_comm=all&locs_by_svc=68","Mountainside Urgent Care","814 Halibut Point Rd., Sitka","P: 907.966.9777","https://searhc.org/location/mountainside-urgent-care/"
"1584435293-7325","https://searhc.org/locations/?locs_by_comm=all&locs_by_svc=68","Klukwan Health Center","11 Chilkat Avenue in Klukwan, AK 99827
                                    HC60-Box 2201P, Haines, AK 99827","P: 907.766.6300","https://searhc.org/location/searhc-klukwan-clinic/"
"1584435293-7328","https://searhc.org/locations/?locs_by_comm=all&locs_by_svc=68","Mt. Edgecumbe Medical Center Primary Care","222 Tongass Dr, Sitka, AK 99835","P: 907.966.8318","https://searhc.org/location/mt-edgecumbe-primary-care/"
"1584435293-7319","https://searhc.org/locations/?locs_by_comm=all&locs_by_svc=68","Gustavus Clinic","42 Dolley Varden Road, Gustavus, AK 99826
                                    P.O. Box 399, Gustavus, AK 99826","P: 907.697.3008","https://searhc.org/location/gustavus-clinic/"
"1584435293-7330","https://searhc.org/locations/?locs_by_comm=all&locs_by_svc=68","Sitka Medical Center (SMC)","700 Katlian Street, Suite E, Sitka AK 99835","P: 907.966.8761","https://searhc.org/location/sitka-medical-center-smc/"
"1584435293-7331","https://searhc.org/locations/?locs_by_comm=all&locs_by_svc=68","Thorne Bay Health Center","120 Freeman, Thorne Bay, AK 99919
                                    PO Box 69, Klawock, AK 99925","P: 877.755.4800","https://searhc.org/location/thorne-bay-clinic/"
"1584435293-7313","https://searhc.org/locations/?locs_by_comm=all&locs_by_svc=68","Alaska Island Community Services (AICS) Medical Clinic","232 Wood St, Wrangell, AK 99929","P: 907.874.4700","https://searhc.org/location/aics-medical-clinic/"
"1584435293-7322","https://searhc.org/locations/?locs_by_comm=all&locs_by_svc=68","Jessie Norma Jim Health Center","725 Relay Road, Angoon, AK 99820
                                    P.O. Box 290, Angoon, AK 99820","P: 907.788.4600","https://searhc.org/location/jessie-norma-jim-health-center/"
"1584435293-7314","https://searhc.org/locations/?locs_by_comm=all&locs_by_svc=68","Alicia Roberts Medical Center","7300 Klawock Hollis Highway, Klawock, AK 99925
                                    PO Box 69, Klawock, AK 99925","P: 907.755.4800","https://searhc.org/location/alicia-roberts-medical-center/"
"1584435293-7324","https://searhc.org/locations/?locs_by_comm=all&locs_by_svc=68","Kasaan Health Center","100 Clinic Way, Kasaan, AK 99950
                                    PO Box KXA, Kasaan, AK 99950-0340","P: 907.542.2222","https://searhc.org/location/kasaan-health-center/"
"1584435293-7316","https://searhc.org/locations/?locs_by_comm=all&locs_by_svc=68","Ethel Lund Medical Center","1200 Salmon Creek Lane, Juneau, AK 99801","P: 907.463.4040","https://searhc.org/location/ethel-lund-medical-center/"
"1584435293-7323","https://searhc.org/locations/?locs_by_comm=all&locs_by_svc=68","Kake Health Center","105 Totem Way, Kake, AK 99830
                                    PO Box 605 Kake, AK 99830","P: 907.785.3333","https://searhc.org/location/kake-health-center/"
