web-scraper-order,web-scraper-start-url,element-wrapper,element-wrapper-href,location-name,location-address-street,location-address-locality,location-address-region,location-address-postal-code,location-contact-phone-main,location-contact-url-main,location-contact-url-main-href
"1584537434-494","https://www.johnmuirhealth.com/locations.html","Pleasanton Outpatient Center","https://www.johnmuirhealth.com/locations/outpatient-center-pleasanton.html","Pleasanton Outpatient Center","5860 Owens Drive, Pleasanton, CA 94588","Pleasanton","CA","94588","Phone (925) 224-0800","Outpatient Center, Pleasanton","https://www.johnmuirhealth.com/locations/outpatient-center-pleasanton.html"
"1584537444-499","https://www.johnmuirhealth.com/locations.html","San Ramon Urgent Care Center","https://www.johnmuirhealth.com/locations/urgent-care-center-san-ramon.html","San Ramon Urgent Care","For a medical emergency, call 911 or go to the nearest emergency room.","null","null","null","null","San Ramon Urgent Care","https://www.johnmuirhealth.com/locations/urgent-care-center-san-ramon.html"
"1584537464-508","https://www.johnmuirhealth.com/locations.html","Concord Medical Center","https://www.johnmuirhealth.com/locations/john-muir-medical-center-concord.html","Concord Medical Center","2540 East St., Concord, CA 94520","Concord","CA","94520","Phone (925) 682-8200","Concord Medical Center","https://www.johnmuirhealth.com/locations/john-muir-medical-center-concord.html"
"1584537460-506","https://www.johnmuirhealth.com/locations.html","Behavioral Health Center","https://www.johnmuirhealth.com/locations/behavioral-health-center-concord.html","Behavioral Health Center","Behavioral Health Center, Inpatient Services","null","null","null","null","Behavioral Health Center","https://www.johnmuirhealth.com/locations/behavioral-health-center-concord.html"
"1584537462-507","https://www.johnmuirhealth.com/locations.html","Walnut Creek Medical Center","https://www.johnmuirhealth.com/locations/john-muir-medical-center-walnut-creek.html","Walnut Creek Medical Center","PUBLIC NOTICE","null","null","null","null","Walnut Creek Medical Center","https://www.johnmuirhealth.com/locations/john-muir-medical-center-walnut-creek.html"
"1584537450-502","https://www.johnmuirhealth.com/locations.html","Concord Urgent Care Center","https://www.johnmuirhealth.com/locations/urgent-care-center-concord.html","Concord Urgent Care","For a medical emergency, call 911 or go to the nearest emergency room.","null","null","null","null","Concord Urgent Care","https://www.johnmuirhealth.com/locations/urgent-care-center-concord.html"
"1584537436-495","https://www.johnmuirhealth.com/locations.html","Concord Outpatient Center","https://www.johnmuirhealth.com/locations/outpatient-center-concord.html","Outpatient Center, Concord","2700 Grant Street, Concord, CA 94520","Concord","CA","94520","Phone (925) 674-2600","Outpatient Center, Concord","https://www.johnmuirhealth.com/locations/outpatient-center-concord.html"
"1584537440-497","https://www.johnmuirhealth.com/locations.html","Berkeley Outpatient Center","https://www.johnmuirhealth.com/locations/outpatient-center-berkeley.html","Berkeley Outpatient Center","The healing power of teamwork","null","null","null","null","Visitor Information","https://www.johnmuirhealth.com/locations/outpatient-center-berkeley.html?contentblock=visitors"
"1584537432-493","https://www.johnmuirhealth.com/locations.html","Rossmoor Outpatient Center","https://www.johnmuirhealth.com/locations/john-muir-health-outpatient-center-tice-valley-rossmoor.html","Rossmoor Outpatient Center","1220 Rossmoor Pkwy, Walnut Creek, CA 94595","Walnut Creek","CA","94595","Phone (925) 939-1220","Rossmoor Outpatient Center","https://www.johnmuirhealth.com/locations/john-muir-health-outpatient-center-tice-valley-rossmoor.html"
"1584537438-496","https://www.johnmuirhealth.com/locations.html","Brentwood Outpatient Center","https://www.johnmuirhealth.com/locations/outpatient-center-brentwood.html","Brentwood Outpatient Center","Primary Care, Urgent Care, Pediatrics","null","null","null","null","Visitor Information","https://www.johnmuirhealth.com/locations/outpatient-center-brentwood.html?contentblock=visitors"
"1584537458-505","https://www.johnmuirhealth.com/locations.html","San Ramon Regional Medical Center (Partner Hospital)","https://www.johnmuirhealth.com/locations/san-ramon-regional-medical-center.html","San Ramon Regional Medical Center","null","null","null","null","null","San Ramon Regional Medical Center","https://www.johnmuirhealth.com/locations/san-ramon-regional-medical-center.html"
"1584537446-500","https://www.johnmuirhealth.com/locations.html","Pleasanton Urgent Care Center","https://www.johnmuirhealth.com/locations/urgent-care-center-pleasanton.html","Pleasanton Urgent Care","For a medical emergency, call 911 or go to the nearest emergency room.","null","null","null","null","Pleasanton Urgent Care","https://www.johnmuirhealth.com/locations/urgent-care-center-pleasanton.html"
