web-scraper-order,web-scraper-start-url,location-name,location-address-street,location-address-locality,location-address-region,location-address-postal-code,location-contact-phone-main,location-contact-url-main,location-contact-url-main-href
"1584533435-351","https://lluh.org/locations","Loma Linda University Behavioral Medicine Center (BMC)","1710 Barton Rd","Redlands","CA","92373","866-884-2334","Loma Linda University Behavioral Medicine Center (BMC)","https://lluh.org/locations/loma-linda-university-behavioral-medicine-center-bmc"
"1584533435-365","https://lluh.org/locations","Loma Linda University Moreno Valley Medicine & Pediatrics Clinic","11441 Heacock St., Suite C","Moreno Valley","CA","92557","951-247-5809","Loma Linda University Moreno Valley Medicine & Pediatrics Clinic","https://lluh.org/locations/loma-linda-university-moreno-valley-medicine-pediatrics-clinic"
"1584533435-345","https://lluh.org/locations","Loma Linda University Medical Center","11234 Anderson St.","Loma Linda","CA","92354","877-558-6248","Loma Linda University Medical Center","https://lluh.org/locations/loma-linda-university-medical-center"
"1584533435-377","https://lluh.org/locations","Loma Linda University Plastic Surgery","25805 Barton Rd., Suite 101","Loma Linda","CA","92354","909-558-5500","Loma Linda University Plastic Surgery","https://lluh.org/locations/loma-linda-university-plastic-surgery"
"1584533435-363","https://lluh.org/locations","Loma Linda University International Heart Institute","11234 Anderson St., Schuman Pavilion, SP-1617","Loma Linda","CA","92354","800-468-5432","Loma Linda University International Heart Institute","https://lluh.org/locations/loma-linda-university-international-heart-institute"
"1584533435-361","https://lluh.org/locations","Loma Linda University Health Plastic Surgery of Riverside","3762 Tibbets St","Riverside","CA","92506","951-686-2224","Loma Linda University Health Plastic Surgery of Riverside","https://lluh.org/locations/loma-linda-university-health-plastic-surgery-riverside"
"1584533435-368","https://lluh.org/locations","Loma Linda University Neurosurgery Clinic – Hemet","603 E Latham Ave.","Hemet","CA","92543","909-558-6388","Loma Linda University Neurosurgery Clinic – Hemet","https://lluh.org/locations/loma-linda-university-neurosurgery-clinic-hemet"
"1584533435-378","https://lluh.org/locations","Loma Linda University Professional Office Building – Murrieta","28078 Baxter Rd.","Murrieta","CA","92563","951-290-4000","Loma Linda University Professional Office Building – Murrieta","https://lluh.org/locations/loma-linda-university-professional-office-building-murrieta"
"1584533435-371","https://lluh.org/locations","Loma Linda University Outpatient Rehabilitation Center","11406 Loma Linda Dr.","Loma Linda","CA","92354","909-558-6144","Loma Linda University Outpatient Rehabilitation Center","https://lluh.org/locations/loma-linda-university-outpatient-rehabilitation-center"
"1584533435-359","https://lluh.org/locations","Loma Linda University Health Faculty Medical Clinics – Redlands Blvd.","25828 Redlands Blvd.","Redlands","CA","92373","909-558-6856","Loma Linda University Health Faculty Medical Clinics – Redlands Blvd.","https://lluh.org/locations/loma-linda-university-health-faculty-medical-clinics-redlands-blvd"
"1584533435-357","https://lluh.org/locations","Loma Linda University Faculty Medical Clinics","11370 Anderson St.","Loma Linda","CA","92354","877-558-6248","Loma Linda University Faculty Medical Clinics","https://lluh.org/locations/loma-linda-university-faculty-medical-clinics"
"1584533435-373","https://lluh.org/locations","Loma Linda University Pediatric Cardiology Clinic – Upland","901 San Bernardino Rd., Suite 302","Upland","CA","91786-4912","909-558-4207","Loma Linda University Pediatric Cardiology Clinic – Upland","https://lluh.org/locations/loma-linda-university-pediatric-cardiology-clinic-upland"
"1584533435-362","https://lluh.org/locations","Loma Linda University Health – Beaumont – Banning","81 South Highland Springs Ave.","Beaumont","CA","92223","951-849-3030","Loma Linda University Health – Beaumont – Banning","https://lluh.org/locations/loma-linda-university-health-beaumont-banning"
"1584533435-346","https://lluh.org/locations","Loma Linda University Medical Center East Campus","25333 Barton Rd.","Loma Linda","CA","92354","909-558-6000","Loma Linda University Medical Center East Campus","https://lluh.org/locations/loma-linda-university-medical-center-east-campus"
