web-scraper-order,web-scraper-start-url,location-name,location-address-street,location-address-locality,location-address-region,location-address-postal-code,location-contact-phone-main,location-contact-url-main,location-contact-url-main-href
"1584540597-579","https://www.mymarinhealth.org/locations/","MarinHealth Pediatric After-Hours Care | A UCSF Health Clinic","1100 Larkspur Landing Circle Suite 10","Larkspur","CA","Larkspur, CA 94939","1-415-464-1350","More information","https://www.mymarinhealth.org/locations/pediatric-after-hours-care/"
"1584540597-594","https://www.mymarinhealth.org/locations/","MarinHealth Urology | A UCSF Health Clinic","3250 Beard Road","Napa","CA","Napa, CA 94558","1-415-461-4000","More information","https://www.mymarinhealth.org/locations/urology-napa/"
"1584540597-557","https://www.mymarinhealth.org/locations/","MarinHealth Cardiovascular Medicine | A UCSF Health Clinic","651 First Street West Suite L","Sonoma","CA","Sonoma, CA 95476","1-707-935-1470","More information","https://www.mymarinhealth.org/locations/cardiovascular-medicine-sonoma/"
"1584540597-575","https://www.mymarinhealth.org/locations/","MarinHealth OB/GYN | A UCSF Health Clinic","100A Drakes Landing Road Suite 225","Greenbrae","CA","Greenbrae, CA 94904","1-415-461-7800","More information","https://www.mymarinhealth.org/locations/ob-gyn-greenbrae/"
"1584540597-565","https://www.mymarinhealth.org/locations/","MarinHealth General & Colorectal Surgery | A UCSF Health Clinic","5 Bon Air Road Suite 101","Larkspur","CA","Larkspur, CA 94939","1-415-924-2515","More information","https://www.mymarinhealth.org/locations/general-surgery-larkspur/"
"1584540597-559","https://www.mymarinhealth.org/locations/","MarinHealth Cardiovascular Performance Center | A UCSF Health Clinic","75 Rowland Way Suite 250","Novato","CA","Novato, CA 94945","1-415-306-3694","More information","https://www.mymarinhealth.org/locations/cardiovascular-performance-center/"
"1584540597-596","https://www.mymarinhealth.org/locations/","MarinHealth Urology | A UCSF Health Clinic","1496 Professional Drive Suite 603","Petaluma","CA","Petaluma, CA 94954","1-415-461-4000","More information","https://www.mymarinhealth.org/locations/urology-petaluma/"
"1584540597-583","https://www.mymarinhealth.org/locations/","MarinHealth Primary Care | A UCSF Health Clinic","4000 Civic Center Drive Suite 200","San Rafael","CA","San Rafael, CA 94903","1-415-492-3333","More information","https://www.mymarinhealth.org/locations/primary-care-san-rafael/"
"1584540597-566","https://www.mymarinhealth.org/locations/","MarinHealth General Surgery | A UCSF Health Clinic","75 Rowland Way Suite 100","Novato","CA","Novato, CA 94945","1-415-924-2515","More information","https://www.mymarinhealth.org/locations/general-surgery-novato/"
"1584540597-568","https://www.mymarinhealth.org/locations/","MarinHealth Internal Medicine | A UCSF Health Clinic","2 Bon Air Road Suite 150","Larkspur","CA","Larkspur, CA 94939","1-415-945-7800","More information","https://www.mymarinhealth.org/locations/internal-medicine-larkspur/"
"1584540597-591","https://www.mymarinhealth.org/locations/","MarinHealth Urogynecology  | A UCSF Health Clinic","651 1st Street West Suite L","Sonoma","CA","Sonoma, CA 95476","1-415-461-7800","More information","https://www.mymarinhealth.org/locations/urogynecology-sonoma/"
"1584540597-593","https://www.mymarinhealth.org/locations/","MarinHealth Urogynecology | A UCSF Health Clinic","100A Drakes Landing Road Suite 225","Greenbrae","CA","Greenbrae, CA 94904","1-415-461-7800","More information","https://www.mymarinhealth.org/locations/urogynecology-greenbrae/"
"1584540597-582","https://www.mymarinhealth.org/locations/","MarinHealth Primary Care | A UCSF Health Clinic","3 Harbor Drive Suite 111","Sausalito","CA","Sausalito, CA 94965","1-415-683-2988","More information","https://www.mymarinhealth.org/locations/primary-care-sausalito/"
"1584540597-589","https://www.mymarinhealth.org/locations/","MarinHealth Rheumatology | A UCSF Health Clinic","2 Bon Air Road Suite 150","Larkspur","CA","Larkspur, CA 94939","1-415-464-9604","More information","https://www.mymarinhealth.org/locations/rheumatology-larkspur/"
"1584540597-573","https://www.mymarinhealth.org/locations/","MarinHealth Neurology | A UCSF Health Clinic","75 Rowland Way Suite 200","Novato","CA","Novato, CA 94945","1-415-683-2988","More information","https://www.mymarinhealth.org/locations/neurology-novato/"
"1584540597-571","https://www.mymarinhealth.org/locations/","MarinHealth Internal Medicine | A UCSF Health Clinic","1341 South Eliseo Drive Suite 200","Greenbrae","CA","Greenbrae, CA 94904","1-415-464-8169","More information","https://www.mymarinhealth.org/locations/internal-medicine-greenbrae/"
"1584540597-580","https://www.mymarinhealth.org/locations/","MarinHealth Pediatric Care | A UCSF Health Clinic","651 First Street West, Suite H","Sonoma","CA","Sonoma, CA 95476","1-707-938-3870","More information","https://www.mymarinhealth.org/locations/pediatric-care-sonoma/"
"1584540597-560","https://www.mymarinhealth.org/locations/","MarinHealth Critical Care & Pulmonology | A UCSF Health Clinic","1100 Larkspur Landing Circle Suite 10","Larkspur","CA","Larkspur, CA 94939","1-415-924-1214","More information","https://www.mymarinhealth.org/locations/critical-care-pulmonology/"
"1584540597-587","https://www.mymarinhealth.org/locations/","MarinHealth Psychiatry | A UCSF Health Clinic","75 Rowland Way Suite 200","Novato","CA","Novato, CA 94945","1-415-925-8924","More information","https://www.mymarinhealth.org/locations/psychiatry-novato/"
"1584540597-561","https://www.mymarinhealth.org/locations/","MarinHealth Endocrine & Diabetes Care | A UCSF Health Clinic","75 Rowland Way Suite 200","Novato","CA","Novato, CA 94945","1-415-461-1780","More information","https://www.mymarinhealth.org/locations/endocrine-diabetes-care-novato/"
"1584540597-558","https://www.mymarinhealth.org/locations/","MarinHealth Cardiovascular Medicine | A UCSF Health Clinic - Larkspur","2 Bon Air Road Suite 100","Larkspur","CA","Larkspur, CA 94939","1-415-927-0666","More information","https://www.mymarinhealth.org/locations/cardiovascular-medicine-larkspur/"
"1584540597-581","https://www.mymarinhealth.org/locations/","MarinHealth Pediatric Care | A UCSF Health Clinic","4000 Civic Center Drive Suite 205","San Rafael","CA","San Rafael, CA 94903","1-415-925-8965","More information","https://www.mymarinhealth.org/locations/pediatric-care-san-rafael/"
