web-scraper-order,web-scraper-start-url,location-name,location-address-street,location-address-locality,location-address-region,location-address-postal-code,location-contact-phone-main,location-contact-url-main,location-contact-url-main-href
"1584535928-440","https://www.ucsfhealth.org/locations","MarinHealth Rheumatology","75 Rowland Way, Suite 200","Novato","CA","94945","Directions","MarinHealth Rheumatology","https://www.ucsfhealth.org/clinics/marinhealth-rheumatology"
"1584535928-482","https://www.ucsfhealth.org/locations","Neurosurgery at Napa","1100 Trancas St.,  Suite 200","Napa","CA","94558","Directions","Neurosurgery at Napa","https://www.ucsfhealth.org/clinics/neurosurgery-at-napa"
"1584535928-423","https://www.ucsfhealth.org/locations","MarinHealth Pediatric Care","4000 Civic Center Dr., Suite 205","San Rafael","CA","94903","Directions","MarinHealth Pediatric Care","https://www.ucsfhealth.org/clinics/marinhealth-pediatric-care"
"1584535928-437","https://www.ucsfhealth.org/locations","MarinHealth Primary Care","1100 Larkspur Landing Circle, Suite 10","Larkspur","CA","94939","Directions","MarinHealth Primary Care","https://www.ucsfhealth.org/clinics/marinhealth-primary-care"
"1584535928-414","https://www.ucsfhealth.org/locations","MarinHealth Urogynecology","651 First St. West, Suite L","Sonoma","CA","95476","Directions","MarinHealth Urogynecology","https://www.ucsfhealth.org/clinics/marinhealth-urogynecology"
"1584535928-454","https://www.ucsfhealth.org/locations","Cardiothoracic Surgery Program at Washington Hospital","39141 Civic Center Dr., Suite 335","Fremont","CA","94538","Directions","Cardiothoracic Surgery Program at Washington Hospital","https://www.ucsfhealth.org/clinics/cardiothoracic-surgery-program-at-washington-hospital"
"1584535928-410","https://www.ucsfhealth.org/locations","MarinHealth Urology","651 First St. W., Suite L","Sonoma","CA","95476","Directions","MarinHealth Urology","https://www.ucsfhealth.org/clinics/marinhealth-urology"
"1584535928-434","https://www.ucsfhealth.org/locations","MarinHealth Primary Care","4000 Civic Center Dr., Suite 200","San Rafael","CA","94903","Directions","MarinHealth Primary Care","https://www.ucsfhealth.org/clinics/marinhealth-primary-care"
"1584535928-432","https://www.ucsfhealth.org/locations","MarinHealth Men's Care Center","1240 S. Eliseo Dr., Suite 101","Greenbrae","CA","94904","Directions","MarinHealth Men's Care Center","https://www.ucsfhealth.org/clinics/marinhealth-mens-care-center"
"1584535928-443","https://www.ucsfhealth.org/locations","null","2395 Lombard St.","San Francisco","CA","94123","Directions","null",""
