web-scraper-order,web-scraper-start-url,location-name,location-address-street,location-address-locality,location-address-region,location-address-postal-code,location-contact-phone-main,location-contact-url-main
"1584763351-160","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=1&option=type&value=Primary+Care&","Northeast Medical Group Family Practice - Centerbrook","null","Centerbrook","CT","06409","null","null"
"1584763346-141","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=3&option=type&value=Primary+Care&","Northeast Medical Group Family Medicine - Seymour","17 Westerman Avenue","Seymour","CT","06483","null","null"
"1584763346-140","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=3&option=type&value=Primary+Care&","Northeast Medical Group Family Medicine – Rye Brook","90 South Ridge Street","Rye Brook","NY","10573","null","null"
"1584763349-152","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=2&option=type&value=Primary+Care&","Lawrence + Memorial Hospital","365 Montauk Avenue","New London","CT","06320","null","null"
"1584763351-166","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=1&option=type&value=Primary+Care&","Northeast Medical Group Connecticut Medical Group - Richard J. Mangi, MD, Allergy and Immunology - Guilford","1591 Boston Post Road","Guilford","CT","06437","null","null"
"1584763351-164","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=1&option=type&value=Primary+Care&","Holly Hill Campus","55 Holly Hill Lane","Greenwich","CT","06830","null","null"
"1584763349-154","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=2&option=type&value=Primary+Care&","Northeast Medical Group Walk-In Care - New London","194 Howard Street","New London","CT","06320","null","null"
"1584763346-139","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=3&option=type&value=Primary+Care&","Northeast Medical Group Concierge Medicine – Rye Brook","90 South Ridge Street","Rye Brook","NY","10573","null","null"
"1584763346-146","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=3&option=type&value=Primary+Care&","Northeast Medical Group Endocrinology - Trumbull","112 Quarry Road","Trumbull","CT","06611","null","null"
"1584763349-150","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=2&option=type&value=Primary+Care&","Primary Care Center – New Haven - York Street Campus","789 Howard Avenue","New Haven","CT","06519","null","null"
"1584763349-149","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=2&option=type&value=Primary+Care&","Primary Care Center – New Haven - Saint Raphael Campus","1450 Chapel Street","New Haven","CT","06511","null","null"
"1584763346-142","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=3&option=type&value=Primary+Care&","Northeast Medical Group Huntington Walk-In Medical Center - Shelton","887 Bridgeport Avenue","Shelton","CT","06484","null","null"
"1584763351-157","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=1&option=type&value=Primary+Care&","Northeast Medical Group Internal Medicine – Branford - 500 East Main Street","500 East Main Street","Branford","CT","06405","203-481-5665","/locations/branford-500-east-main-street.aspx"
"1584763351-162","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=1&option=type&value=Primary+Care&","Northeast Medical Group Internal Medicine - Cheshire","677 South Main Street","Cheshire","CT","06410","null","null"
"1584763346-143","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=3&option=type&value=Primary+Care&","Northeast Medical Group - Stonington Medical Center - Stonington","91 Voluntown Road","Stonington","CT","06379","null","null"
"1584763349-155","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=2&option=type&value=Primary+Care&","Northeast Medical Group Family Medicine, Internal Medicine and Walk-In Care - Niantic","248 Flanders Road","Niantic","CT","06357","null","null"
"1584763346-144","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=3&option=type&value=Primary+Care&","Northeast Medical Group Family and Internal Medicine - Stonington","91 Voluntown Road","Stonington","CT","06379","null","null"
"1584763344-133","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=4&option=type&value=Primary+Care&","Northeast Medical Group Internal Medicine - Trumbull","115 Technology Drive","Trumbull","CT","06611","203-268-4884","/locations/trumbull-115-technology-drive-c301.aspx"
"1584763351-165","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=1&option=type&value=Primary+Care&","Northeast Medical Group Internal Medicine - Greenwich","500 West Putnam Avenue","Greenwich","CT","06830","null","null"
"1584763351-163","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=1&option=type&value=Primary+Care&","Connecticut Medical Group/Northeast Medical Group - David I. Ricco, MD - East Haven - 310 Main Street","310 Main Street","East Haven","CT","06512","null","null"
"1584763346-145","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=3&option=type&value=Primary+Care&","Northeast Medical Group Walk-In Care - Stonington","91 Voluntown Road","Stonington","CT","06379","null","null"
"1584763344-136","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=4&option=type&value=Primary+Care&","Lawrence + Memorial - Diagnostic Imaging at Crossroads - Waterford","196 Parkway South","Waterford","CT","06385","null","null"
"1584763344-134","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=4&option=type&value=Primary+Care&","Northeast Medical Group Physical Therapy - Trumbull","112 Quarry Road","Trumbull","CT","06611","null","null"
"1584763344-135","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=4&option=type&value=Primary+Care&","Park Avenue Medical Center","Park Avenue Medical Center","Trumbull","CT","06611","null","null"
"1584763351-158","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=1&option=type&value=Primary+Care&","Northeast Medical Group Internal Medicine - Bridgeport","3180 Main Street","Bridgeport","CT","06606","null","null"
"1584763351-159","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=1&option=type&value=Primary+Care&","Primary Care Center - Bridgeport Hospital","267 Grant Street","Bridgeport","CT","06610","null","null"
"1584763349-147","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=2&option=type&value=Primary+Care&","Northeast Medical Group Family Medicine - Guilford","652 Boston Post Road","Guilford","CT","06437","203-453-0677","/locations/guilford-652-boston-post-road.aspx"
"1584763346-138","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=3&option=type&value=Primary+Care&","Northeast Medical Group Cardiology – Rye Brook","90 South Ridge Street","Rye Brook","NY","10573","null","null"
"1584763349-153","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=2&option=type&value=Primary+Care&","Multispecialty Center - New London","194 Howard Street","New London","CT","06320","null","null"
"1584763349-156","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=2&option=type&value=Primary+Care&","Old Saybrook Medical Center - Old Saybrook","633 Middlesex Turnpike","Old Saybrook","CT","06475","null","null"
"1584763346-137","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=3&option=type&value=Primary+Care&","Yale New Haven Children's Hospital - Pediatric Specialty Center - Old Saybrook","633 Middlesex Turnpike","Old Saybrook","CT","06475","877-925-3637","/locations/old-saybrook-633-middlesex-turnpike-psc.aspx"
"1584763351-161","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=1&option=type&value=Primary+Care&","James Sarfeh, MD - Cheshire","422 Highland Avenue","Cheshire","CT","06410","null","null"
"1584763349-148","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=2&option=type&value=Primary+Care&","Northeast Medical Group Pediatrics - Hamden","2200 Whitney Ave","Hamden","CT","06518","null","null"
"1584763349-151","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=2&option=type&value=Primary+Care&","Yale New Haven Hospital, Saint Raphael Campus","1450 Chapel Street","New Haven","CT","06511","null","null"
