web-scraper-order,web-scraper-start-url,location-name,location-address-street,location-address-locality,location-address-region,location-address-postal-code,location-contact-phone-main,location-contact-url-main
"1584763091-113","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=2&option=type&value=Urgent+Care&","PhysicianOne - Manchester","370 middle turnpike west","Manchester","CT","06040","860-516-5070","/locations/manchester-370-middle-turnpike-west.aspx"
"1584763087-102","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=4&option=type&value=Urgent+Care&","Northeast Medical Group - Walk-in Medical Center - West Haven","500 Elm Street","West Haven","CT","06516","null","null"
"1584763089-109","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=3&option=type&value=Urgent+Care&","Northeast Medical Group - Stonington Medical Center - Stonington","91 Voluntown Road","Stonington","CT","06379","null","null"
"1584763089-105","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=3&option=type&value=Urgent+Care&","Northeast Medical Group Walk-In Care – Rye Brook","90 South Ridge Street","Rye Brook","NY","10573","null","null"
"1584763091-116","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=2&option=type&value=Urgent+Care&","Multispecialty Center - New London","194 Howard Street","New London","CT","06320","null","null"
"1584763089-112","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=3&option=type&value=Urgent+Care&","PhysicianOne - Waterbury","920 Wolcott St","Waterbury","CT","06705","null","null"
"1584763093-129","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=1&option=type&value=Urgent+Care&","PhysicianOne - Groton","220 Route 12","Groton","CT","06340","null","null"
"1584763091-117","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=2&option=type&value=Urgent+Care&","Northeast Medical Group Walk-In Care - New London","194 Howard Street","New London","CT","06320","null","null"
"1584763093-132","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=1&option=type&value=Urgent+Care&","PhysicianOne - Mamaroneck","1030 West Boston Post Road","Mamaroneck","NY","10543","null","null"
"1584763089-111","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=3&option=type&value=Urgent+Care&","PhysicianOne - Stratford","1040 Barnum Ave.","Stratford","CT","06614","null","null"
"1584763087-101","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=4&option=type&value=Urgent+Care&","PhysicianOne - West Hartford","21 North Main Street","West Hartford","CT","06107","860-236-3911","/locations/west-hartford-21-north-main-street-suite-b-p1.aspx"
"1584763091-119","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=2&option=type&value=Urgent+Care&","Northeast Medical Group Family Medicine, Internal Medicine and Walk-In Care - Niantic","248 Flanders Road","Niantic","CT","06357","null","null"
"1584763093-128","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=1&option=type&value=Urgent+Care&","PhysicianOne - Glastonbury","2928 Main Street","Glastonbury","CT","06033","null","null"
"1584763093-131","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=1&option=type&value=Urgent+Care&","PhysicianOne - Hamden","2165 Dixwell Ave.","Hamden","CT","06514","null","null"
"1584763091-114","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=2&option=type&value=Urgent+Care&","Milford Urgent Care Center - Milford","831 Boston Post Road","Milford","CT","06460","null","null"
"1584763093-127","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=1&option=type&value=Urgent+Care&","Fairfield Urgent Care Center - Fairfield","309 Stillson Road","Fairfield","CT","06825","null","null"
"1584763089-107","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=3&option=type&value=Urgent+Care&","PhysicianOne - Somers","80 Route 6","Somers","NY","10505","null","null"
"1584763089-110","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=3&option=type&value=Urgent+Care&","Northeast Medical Group Walk-In Care - Stonington","91 Voluntown Road","Stonington","CT","06379","null","null"
"1584763093-130","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=1&option=type&value=Urgent+Care&","Shoreline Medical Center - Guilford","111 Goose Lane","Guilford","CT","06437","null","null"
"1584763093-125","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=1&option=type&value=Urgent+Care&","PhysicianOne - Derby","78 Pershing Drive","Derby","CT","06418","null","null"
"1584763091-115","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=2&option=type&value=Urgent+Care&","PhysicianOne - Mohegan Lake","Cortlandt Town Center","Mohegan Lake","NY","10547","null","null"
"1584763093-123","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=1&option=type&value=Urgent+Care&","PhysicianOne - Bristol","576 Farmington Avenue","Bristol","CT","06010","860-845-5763","/locations/bristol-576-farmington-avenue-p1.aspx"
"1584763093-126","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=1&option=type&value=Urgent+Care&","PhysicianOne - Enfield","55 Hazard Avenue","Enfield","CT","06082","null","null"
"1584763089-104","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=3&option=type&value=Urgent+Care&","PhysicianOne - Ridgefield","10 South Street Suite 101","Ridgefield","CT","06877","null","null"
"1584763091-118","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=2&option=type&value=Urgent+Care&","PhysicianOne - Newtown","266 South Main St.","Newtown","CT","06470","null","null"
"1584763089-106","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=3&option=type&value=Urgent+Care&","Northeast Medical Group Huntington Walk-In Medical Center - Shelton","887 Bridgeport Avenue","Shelton","CT","06484","null","null"
"1584763089-108","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=3&option=type&value=Urgent+Care&","PhysicianOne - Southbury","900 Main Street South  Building 2, Suite 100","Southbury","CT","06488","null","null"
"1584763089-103","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=3&option=type&value=Urgent+Care&","PhysicianOne - Norwich","607 West Main Street","Norwich","CT","06360","860-892-9000","/locations/norwich-607-west-main-street-p1.aspx"
"1584763091-121","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=2&option=type&value=Urgent+Care&","Northeast Medical Group Walk-In Care - North Haven","4A Devine Street","North Haven","CT","06473","null","null"
"1584763093-124","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=1&option=type&value=Urgent+Care&","PhysicianOne - Brookfield","31 Old Route 7","Brookfield","CT","06804","null","null"
"1584763091-122","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=2&option=type&value=Urgent+Care&","PhysicianOne - Norwalk","346 Main Ave.","Norwalk","CT","06851","null","null"
"1584763091-120","https://www.ynhhs.org/find-a-location/locations-and-facilities.aspx?page=2&option=type&value=Urgent+Care&","Northeast Medical Group Walk-In Care - Niantic","248 Flanders Road","Niantic","CT","06357","null","null"
