web-scraper-order,web-scraper-start-url,location-name,location-address-street,location-address-locality,location-address-region,location-address-postal-code,location-contact-phone-main,location-contact-url-main,location-contact-url-main-href,link-location-address-locality,link-location-address-locality-href,link-location-address-region,link-location-address-region-href
"1584542090-1142","https://locations.dignityhealth.org/","Emergency Room - Mercy Hospital Southwest","400 Old River Rd","null","CA","93311","(661) 663-6000","Emergency Room - Mercy Hospital Southwest","https://locations.dignityhealth.org/emergency-room-mercy-hospital-southwest-bakersfield-ca","Bakersfield","https://locations.dignityhealth.org/bakersfield-ca","California","https://locations.dignityhealth.org/california"
"1584541942-612","https://locations.dignityhealth.org/","Dignity Health - St. Rose Dominican Hospital, Sahara Campus - Las Vegas, NV","4980 W Sahara Ave","null","NV","89102","(702) 216-7365","Dignity Health - St. Rose Dominican Hospital, Sahara Campus - Las Vegas, NV","https://locations.dignityhealth.org/dignity-health-st-rose-dominican-hospital-sahara-campus-las-vegas-nv-las-vegas-nv","Las Vegas","https://locations.dignityhealth.org/las-vegas-nv","Nevada","https://locations.dignityhealth.org/nevada"
"1584542118-1192","https://locations.dignityhealth.org/","Dignity Health Medical Group Family and Specialty Medicine - Paradise Valley","10214 N Tatum Blvd","Phoenix","AZ","85028","(602) 406-1530","Dignity Health Medical Group Family and Specialty Medicine - Paradise Valley","https://locations.dignityhealth.org/dignity-health-medical-group-family-and-specialty-medicine-paradise-valley-phoenix-az","Phoenix","https://locations.dignityhealth.org/phoenix-az","Arizona","https://locations.dignityhealth.org/arizona"
"1584541974-772","https://locations.dignityhealth.org/","Dignity Health-GoHealth Urgent Care Lower Pacific Heights","1801 Divisadero St","null","CA","94115","(415) 965-7944","Dignity Health-GoHealth Urgent Care Lower Pacific Heights","https://locations.dignityhealth.org/dignity-health-gohealth-urgent-care-lower-pacific-heights-san-francisco-ca","San Francisco","https://locations.dignityhealth.org/san-francisco-ca","California","https://locations.dignityhealth.org/california"
"1584542029-966","https://locations.dignityhealth.org/","St. Mary's Spine Center","1 Shrader St","San Francisco","CA","94117","(415) 750-5909","St. Mary's Spine Center","https://locations.dignityhealth.org/st-mary's-spine-center-san-francisco-ca","Mill Valley","https://locations.dignityhealth.org/dignity-health-gohealth-urgent-care-mill-valley-mill-valley-ca","California","https://locations.dignityhealth.org/california"
"1584542074-1108","https://locations.dignityhealth.org/","Mercy Imaging Center - Carmichael","6305 Coyle Ave","null","CA","95608","(916) 535-2000","Mercy Imaging Center - Carmichael","https://locations.dignityhealth.org/mercy-imaging-center-carmichael-carmichael-ca","Carmichael","https://locations.dignityhealth.org/carmichael-ca","California","https://locations.dignityhealth.org/california"
"1584542072-1102","https://locations.dignityhealth.org/","MS Achievement Center","7777 Greenback Lane","Citrus Heights","CA","95610","(916) 453-7966","MS Achievement Center","https://locations.dignityhealth.org/ms-achievement-center-citrus-heights-ca","Citrus Heights","https://locations.dignityhealth.org/citrus-heights-ca","California","https://locations.dignityhealth.org/california"
"1584542049-1045","https://locations.dignityhealth.org/","Chronic Disease Management - Glendale Memorial Hospital and Health Center - Glendale","1420 S Central Ave","null","CA","91204","(855) 419-8981","Chronic Disease Management - Glendale Memorial Hospital and Health Center - Glendale","https://locations.dignityhealth.org/chronic-disease-management-glendale-memorial-hospital-and-health-center-glendale-glendale-ca","Glendale","https://locations.dignityhealth.org/glendale-ca","California","https://locations.dignityhealth.org/california"
"1584542095-1165","https://locations.dignityhealth.org/","Emergency Room - Arroyo Grande Community Hospital","345 S Halcyon Rd","null","CA","93420","(805) 489-4261","Emergency Room - Arroyo Grande Community Hospital","https://locations.dignityhealth.org/emergency-room-arroyo-grande-community-hospital-arroyo-grande-ca","Arroyo Grande","https://locations.dignityhealth.org/arroyo-grande-ca","California","https://locations.dignityhealth.org/california"
"1584542118-1203","https://locations.dignityhealth.org/","Dignity Health Medical Group Transitional Care - St. Joseph’s","500 W Thomas Rd","Phoenix","AZ","85013","(602) 406-1140","Dignity Health Medical Group Transitional Care - St. Joseph’s","https://locations.dignityhealth.org/dignity-health-medical-group-transitional-care-st-joseph%E2%80%99s-phoenix-az","Phoenix","https://locations.dignityhealth.org/phoenix-az","Arizona","https://locations.dignityhealth.org/arizona"
"1584541967-709","https://locations.dignityhealth.org/","Med Plus Central Coast - Occupational Medicine","2271 S Depot St","null","CA","93455","(805) 614-9000","Med Plus Central Coast - Occupational Medicine","https://locations.dignityhealth.org/med-plus-central-coast-occupational-medicine-santa-maria-ca","Santa Maria","https://locations.dignityhealth.org/santa-maria-ca","California","https://locations.dignityhealth.org/california"
"1584541972-749","https://locations.dignityhealth.org/","Dignity Health Laboratories - Pacific Medical Plaza","1941 Johnson Ave","San Luis Obispo","CA","93401","(855) 586-7660","Dignity Health Laboratories - Pacific Medical Plaza","https://locations.dignityhealth.org/dignity-health-laboratories-pacific-medical-plaza-san-luis-obispo-ca","San Luis Obispo","https://locations.dignityhealth.org/san-luis-obispo-ca","California","https://locations.dignityhealth.org/california"
