web-scraper-order,web-scraper-start-url,location-name,location-address-street,location-address-locality,location-address-region,location-address-postal-code,location-contact-phone-main,location-contact-url-main,location-contact-url-main-href
1584834925-13,https://www.emoryhealthcare.org/locations/index.html?type=hospitals,Emory Saint Joseph's Hospital,5665 Peachtree Dunwoody Rd,"Rd
Atlanta",GA,30342,404-778-7777,Emory Saint Joseph's Hospital,https://www.emoryhealthcare.org/locations/index.html?type=hospitals#map
1584834925-16,https://www.emoryhealthcare.org/locations/index.html?type=hospitals,Emory University Hospital Midtown,550 Peachtree St NE,"NE
Atlanta",GA,30308,404-501-8000,Emory University Hospital Midtown,https://www.emoryhealthcare.org/locations/index.html?type=hospitals#map
1584834925-10,https://www.emoryhealthcare.org/locations/index.html?type=hospitals,Emory Johns Creek Hospital,6325 Hospital Pkwy,"Pkwy
Johns Creek",GA,30097,678-474-7000,Emory Johns Creek Hospital,https://www.emoryhealthcare.org/locations/index.html?type=hospitals#map
1584834925-11,https://www.emoryhealthcare.org/locations/index.html?type=hospitals,Emory Long-Term Acute Care,450 N. Candler Street,"Street
Decatur",GA,30030,404-501-1000,Emory Long-Term Acute Care,https://www.emoryhealthcare.org/locations/index.html?type=hospitals#map
1584834925-14,https://www.emoryhealthcare.org/locations/index.html?type=hospitals,Emory University Hospital,1364 Clifton Rd NE,"NE
Atlanta",GA,30322,404-778-7777,Emory University Hospital,https://www.emoryhealthcare.org/locations/index.html?type=hospitals#map
1584834925-9,https://www.emoryhealthcare.org/locations/index.html?type=hospitals,Emory Hillandale Hospital,2801 Dekalb Medical Pkwy,"Pkwy
Lithonia",GA,30058,404-501-8000,Emory Hillandale Hospital,https://www.emoryhealthcare.org/locations/index.html?type=hospitals#map
1584834925-17,https://www.emoryhealthcare.org/locations/index.html?type=hospitals,Emory University Orthopaedics & Spine Hospital,1455 Montreal Rd E,"E
Tucker",GA,30084,404-251-3000,Emory University Orthopaedics & Spine Hospital,https://www.emoryhealthcare.org/locations/index.html?type=hospitals#map
1584834925-8,https://www.emoryhealthcare.org/locations/index.html?type=hospitals,Emory Decatur Hospital,2701 N Decatur Rd,"Rd
Decatur",GA,30033,404-501-9355,Emory Decatur Hospital,https://www.emoryhealthcare.org/locations/index.html?type=hospitals#map
1584834925-12,https://www.emoryhealthcare.org/locations/index.html?type=hospitals,Emory Rehabilitation Hospital,1441 Clifton Rd NE,"NE
Atlanta",GA,30322,404-712-5512,Emory Rehabilitation Hospital,https://www.emoryhealthcare.org/locations/index.html?type=hospitals#map
1584834925-15,https://www.emoryhealthcare.org/locations/index.html?type=hospitals,Emory University Hospital at Wesley Woods,1821 Clifton Rd NE,"NE
Atlanta",GA,30329,404-778-7777,Emory University Hospital at Wesley Woods,https://www.emoryhealthcare.org/locations/index.html?type=hospitals#map
