web-scraper-order,web-scraper-start-url,location-name,location-address-street,location-address-locality,location-address-region,location-address-postal-code,location-contact-phone-main,location-contact-url-main
"1584757902-40","https://www.hopkinsmedicine.org/directions/","Heart Care - Rockville","15005 Shady Grove Road","340
Rockville","MD","20850","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_heart_care_rockville.html"
"1584757902-13","https://www.hopkinsmedicine.org/directions/","Annapolis (Edgewater, Md)","137 Mitchell","180
Edgewater","MD","21037","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_annapolis.html"
"1584757902-14","https://www.hopkinsmedicine.org/directions/","Glen Burnie","7671 Quarterfield Road","401
Glen Burnie","MD","21061","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_glen_burnie.html"
"1584757902-8","https://www.hopkinsmedicine.org/directions/","Suburban Hospital","8600 Old Georgetown Road","Road
Bethesda","MD","20814","301-896-3100","https://www.hopkinsmedicine.org/suburban_hospital/planning_your_visit/maps_directions.html"
"1584757902-21","https://www.hopkinsmedicine.org/directions/","Greater Dundalk","2112 Dundalk Ave.","Ave.
Baltimore","MD","21222","410-288-4800","https://www.hopkinsmedicine.org/directions/johns_hopkins_in_greater_dundalk.html"
"1584757902-26","https://www.hopkinsmedicine.org/directions/","Frederick","45 Thomas Johnson Drive","109
Frederick","MD","21702","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_in_frederick.html"
"1584757902-6","https://www.hopkinsmedicine.org/directions/","Howard County General Hospital","5755 Cedar Lane","Lane
Columbia","MD","21044","410-740-7890","https://www.hopkinsmedicine.org/howard_county_general_hospital/patient_visitor/preparing_visit/campus_map.html"
"1584757902-44","https://www.hopkinsmedicine.org/directions/","null","6000 Executive Blvd.","625
Rockville","MD","20852","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_north_bethesda.html"
"1584757902-7","https://www.hopkinsmedicine.org/directions/","Sibley Memorial Hospital","Sibley Memorial Hospital","null","null","20016","202-537-4000","http://www.hopkinsmedicine.org/sibley-memorial-hospital/planning-your-visit/maps-directions.html"
"1584757902-43","https://www.hopkinsmedicine.org/directions/","null","Suburban Hospital","Road
Bethesda","MD","20814","null","https://www.hopkinsmedicine.org/directions/suburban_neurology.html"
"1584757902-32","https://www.hopkinsmedicine.org/directions/","Downtown Bethesda","7315 Wisconsin Ave.","700
Bethesda","MD","20814","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_in_downtown_bethesda.html"
"1584757902-48","https://www.hopkinsmedicine.org/directions/","null","Sibley Medical Office Building","150
Washington","DC","20016","null","https://www.hopkinsmedicine.org/directions/sibley-surgery.html"
"1584757902-41","https://www.hopkinsmedicine.org/directions/","null","8630 Fenton Street","1105
Silver Spring","MD","20910","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_heart_care_silverspring.html"
"1584757902-30","https://www.hopkinsmedicine.org/directions/","Howard County","6350 Stevens Forest Road","Road
Columbia","MD","21046","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_at_howard_county.html"
"1584757902-9","https://www.hopkinsmedicine.org/directions/","Endoscopy and Surgery Center","5450 Knoll North Drive","301
Columbia","MD","21045","410-933-0286","https://www.google.com/maps/dir/39.3739349,-76.6079031/5450+Knoll+North+Drive,+Columbia,+MD/@39.3007914,-76.8137871,11z/data=!3m1!4b1!4m10!4m9!1m1!4e1!1m5!1m1!1s0x89b7dff102dfe867:0xb9d5c27e9b5cf252!2m2!1d-76.8404731!2d39.2252749!3e0"
"1584757902-23","https://www.hopkinsmedicine.org/directions/","White Marsh","4924 Campbell Blvd.","200
Nottingham","MD","21236","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_white_marsh_jhcp.html"
"1584757902-5","https://www.hopkinsmedicine.org/directions/","Johns Hopkins All Children's Hospital","501 6th Ave. S.","S.
St. Petersburg","FL","33701","727-898-7451","https://www.allkids.org/Locations"
"1584757902-46","https://www.hopkinsmedicine.org/directions/","Bowie","17001 Science Drive","102
Bowie","MD","20715","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_bowie.html"
"1584757902-29","https://www.hopkinsmedicine.org/directions/","General Surgery at Howard County - Columbia, Md.","Medical Arts Building","202
Columbia","MD","21044","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_howard_cty_gen_surgery.html"
"1584757902-37","https://www.hopkinsmedicine.org/directions/","null","6420 Rockledge Drive","2200
Bethesda","MD","20817","null","https://www.hopkinsmedicine.org/directions/general_surgery.html"
"1584757902-1","https://www.hopkinsmedicine.org/directions/","Johns Hopkins Hospital Campus","1800 Orleans St.","St.
Baltimore","MD","21287","410-955-5000","https://www.hopkinsmedicine.org/the_johns_hopkins_hospital/getting_here/directions_jhh.html"
"1584757902-25","https://www.hopkinsmedicine.org/directions/","Charles County - White Plains, Md","Fairview Center Business Park","201
White Plains","MD","20695","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_in_charles_county.html"
"1584757902-17","https://www.hopkinsmedicine.org/directions/","Canton Crossing","1501 South Clinton St.","200
Baltimore","MD","21224","410-522-9940","https://www.hopkinsmedicine.org/directions/johns_hopkins_canton_crossing.html"
"1584757902-19","https://www.hopkinsmedicine.org/directions/","General Internal Medicine - Johns Hopkins Bayview Medical Center","4940 Eastern Ave.","301
Baltimore","MD","21224","410-550-3350","https://www.hopkinsmedicine.org/directions/bayview_internal_medicine.html"
"1584757902-35","https://www.hopkinsmedicine.org/directions/","null","6420 Rockledge Drive","220
Bethesda","MD","20817","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_general_colorectal_surgery.html"
"1584757902-16","https://www.hopkinsmedicine.org/directions/","null","1132 Annapolis Road","203
Odenton","MD","21113","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_in_odenton.html"
"1584757902-33","https://www.hopkinsmedicine.org/directions/","null","6420 Rockledge Drive","4100
Bethesda","MD","20817","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_breast_center_jhcp.html"
"1584757902-34","https://www.hopkinsmedicine.org/directions/","null","Suburban Hospital","Road
Bethesda","MD","20814","null","https://www.hopkinsmedicine.org/directions/suburban_jhcp_vascularsurgery.html"
"1584757902-20","https://www.hopkinsmedicine.org/directions/","Wyman Park/Remington","2700 Remington Avenue, Suite 2000","2000
Baltimore","MD","21211","667-312-2400","https://www.hopkinsmedicine.org/directions/johns_hopkins_at_wyman_park.html"
"1584757902-39","https://www.hopkinsmedicine.org/directions/","null","5530 Wisconsin Ave.","null","515
Chevy Chase MD","20815","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_heart_care_chevy_chase.html"
"1584757902-15","https://www.hopkinsmedicine.org/directions/","Odenton Medical Pavilion I","1106 Annapolis Road","310
Odenton","MD","21113","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_in_odenton2.html"
"1584757902-27","https://www.hopkinsmedicine.org/directions/","Water’s Edge - Belcamp, Md","103 Bata Blvd.","A
Belcamp","MD","21017","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_waters_edge.html"
"1584757902-49","https://www.hopkinsmedicine.org/directions/","I Street","1400 I St. N.W.","null","null","20005","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_i_street.html"
"1584757902-10","https://www.hopkinsmedicine.org/directions/","Johns Hopkins Health Care & Surgery Center - Green Spring Station","10755 Falls Road","Road
Lutherville","MD","21093","443-583-2888","https://www.hopkinsmedicine.org/directions/johns_hopkins_at_green_spring_station.html"
"1584757902-2","https://www.hopkinsmedicine.org/directions/","Johns Hopkins Outpatient Center","601 N. Caroline St.","St.
Baltimore","MD","21287","410-955-5000","https://www.hopkinsmedicine.org/the_johns_hopkins_hospital/getting_here/directions_outpatient_center.html"
"1584757902-45","https://www.hopkinsmedicine.org/directions/","null","6420 Rockledge Drive","2200
Bethesda","MD","20817","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_orthopedic_surgery.html"
"1584757902-4","https://www.hopkinsmedicine.org/directions/","Johns Hopkins Bayview Medical Center","4940 Eastern Ave.","Ave.
Baltimore","MD","21224","410-550-0100","https://www.hopkinsmedicine.org/johns_hopkins_bayview/planning_your_visit/maps_directions/"
"1584757902-36","https://www.hopkinsmedicine.org/directions/","Germantown","Health Care","2400
Germantown","MD","20876","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_germantown.html"
"1584757902-28","https://www.hopkinsmedicine.org/directions/","Fulton","8160 Maple Lawn Blvd.","150
Fulton","MD","20759","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_fulton.html"
