location-name,location-address-street,location-address-locality,location-address-region,location-address-code,Longitude,Latitude,phone,location-contact-url-main,location-contact-url-gm
SSM Health Express Clinic at Walgreens,1650 Washington Ave.,Alton,IL,62002,-90.14947833,38.90231368,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-alton,https://goo.gl/maps/FUUAF14iB4y
SSM Health Express Clinic,1003 E. McCord St.,Centralia,IL,62801,-89.11867148,38.52654384,618-436-6633,https://www.ssmhealth.com/locations/location-details/express-clinic-centralia,"https://www.google.com/maps/place/SSM+Health+Express+Clinic/@38.5276857,-89.1219045,17z/data=!3m1!4b1!4m5!3m4!1s0x887698f6c34f89f7:0xebb1a49bc9eb5b4e!8m2!3d38.5276857!4d-89.1197158?hl=en"
SSM Health Express Clinic at Walgreens,6505 N. Illinois St.,Fairview Heights,IL,62208,-89.9856056,38.593337,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-fairview-heights,https://goo.gl/maps/eUDhaFn6bm92
SSM Health Express Clinic at Walgreens,2 Cottonwood Road,Glen Carbon,IL,62034,-89.95256994,38.77436333,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-glen-carbon,https://goo.gl/maps/ZgWFDFU8K5Q2
SSM Health Express Clinic at Walgreens,3732 Nameoki Road,Granite City,IL,62040,-90.12355125,38.72908262,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-granite-city,https://goo.gl/maps/myWMZxNsACL2
SSM Health Express Clinic,602 S. 42nd St.,Mount Vernon,IL,62864,-88.94207124,38.31360059,618-899-3278,https://www.ssmhealth.com/locations/location-details/express-clinic-mount-vernon,https://goo.gl/maps/huZC7mZ2mjM2
SSM Health Express Clinic at Walgreens,3937 Vogel Road,Arnold,MO,63010,-90.3923067,38.4156438,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-arnold,https://goo.gl/maps/kRDiLBp2Cfp
SSM Health Urgent Care,1296 Jeffco Blvd.,Arnold,MO,63010,-90.37478597,38.43606488,636-321-8610,https://www.ssmhealth.com/locations/location-details/urgent-care-arnold,https://goo.gl/maps/DgGXFGFLjto
SSM Health Express Clinic at Walgreens,1718 Catlin Drive,Barnhart,MO,63012,-90.44725093,38.33309334,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-barnhart,https://goo.gl/maps/UcZbErkeBPN2
SSM Health Express Clinic at Walgreens,2401 S. Brentwood Blvd.,Brentwood,MO,63144,-90.3492362,38.6172367,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-brentwood,https://goo.gl/maps/mc938D254nP2
