location-name,location-address-street,location-address-locality,location-address-region,location-address-postal-code,lat,long,location-contact-phone-main,location-contact-url-main
Alton Memorial Hospital,6 Memorial Drive,Alton,IL,62002,38.90044468,-90.16045825,636-561-5100,
Bonne Terre - Parkland Health Center,7245 Raider Road,Bonne Terre,MO,63628,37.94099236,-90.52329422,636-561-5100,
Columbia - Boone Hospital,1600 East Broadway,Columbia,MO,65201,38.949776,-92.3158068,636-561-5100,
Barnes-Jewish West County Hospital,12634 Olive Blvd.,Creve Coeur,MO,63141,38.6763058,-90.4678846,1-844-542-9378,
Farmington - Parkland Health Center,1101 West Liberty,Farmington,MO,63640,37.782126,-90.43867801,636-561-5100,
Missouri Baptist Medical Center,3015 N. Ballas Road,St. Louis,MO,63131,38.6364152,-90.4464097,,
Hannibal Clinic,100 Medical Drive,Hannibal,MO,63401,39.6925014,-91.45694106,636-561-5100,
Progress West Healthcare Center,2 Progress Point Parkway,O'Fallon,MO,63368,38.715763,-90.6989513,,
Poplar Bluff - Kneibert Clinic,686 Lester Street,Poplar Bluff,MO,63901,36.75918652,-90.39830234,636-561-5100,
Rolla - Phelps County Regional Medical Center,1000 West Tenth Street,Rolla,MO,65401,37.95151594,-91.78667242,636-561-5100,
Memorial Hospital East Medical Building,1414 Cross St.,Shiloh,IL,62269,38.57457291,-89.9088285,636-561-5100,
Springfield - Cox Medical Center,3443 S National Ave,Springfield,MO,65807,37.1521181,-93.278824,636-561-5100,
St. Louis Children's Specialty Care Center,13001 North Outer Forty,St. Louis,MO,63017,38.65101688,-90.53642596,314-454-KIDS (5437),
VA Medical Center: John Cochran Division,915 North Grand Boulevard,St. Louis,MO,63106,38.6425813,-90.2315622,,
Grant Medical Clinic (WUCA),114 North Taylor,St. Louis,MO,63108,38.6415543,-90.2579759,314-652-8138,
Barnes-Jewish Hospital,1 Barnes-Jewish Hospital Plaza,St. Louis,MO,63110,38.6358935,-90.2646959,866-867-3627,
Shriners Hospitals for Children,4400 Clayton Road,St. Louis,MO,63110,38.6324105,-90.2579618,,
St. Louis Children's Hospital,1 Children's Place,St. Louis,MO,63110,38.6378128,-90.2650078,314-454-KIDS (5437),
Christian Hospital,1133 Dunn Road,St. Louis,MO,63136,38.74331207,-90.25977699,,
Mercy Hospital,615 S. New Ballas Road,St. Louis,MO,63141,38.6454031,-90.446423,,
Barnes-Jewish St. Peters Hospital,10 Hospital Drive,St. Peters,MO,63376,38.7941498,-90.5802752,,
