location-name,location_address_street,location_address_locality,location_address_region,location_address_postal_code,location_latitude,location_longitude,location_contact_phone_main,location_contact_phone_appointments,location_contact_phone_covid,location_contact_url_main
Hackensack Meridian Urgent Care-Brick,2125 Route 88 East,Brick,NJ,08724,40.07631183,-74.1019782,732-892-4640,,,https://www.clockwisemd.com/hospitals/1364/visits/new
Hackensack Meridian Urgent Care-Forked River,701 U.S. 9,Forked River,NJ,08731,39.82011638,-74.20242503,609-250-4110,,,https://www.clockwisemd.com/hospitals/4076/appointments/new
Hackensack Meridian Urgent Care-Freehold,315 W. Main Street,Freehold,NJ,07728,40.2449396,-74.2982089,732-414-6850,,,https://www.clockwisemd.com/hospitals/1929/visits/new
Hackensack Meridian Urgent Care-Jackson,27 S Cooksbridge Road Suite 1-5,Jackson,NJ,08527,40.12114887,-74.28954949,732-370-4222,,,https://www.clockwisemd.com/hospitals/1424/visits/new
Hackensack Meridian Urgent Care-Long Beach Island,901 Long Beach Blvd,Ship Bottom,NJ,08008,39.64916073,-74.17630236,609-361-2677,,,https://www.clockwisemd.com/hospitals/1435/visits/new
Hackensack Meridian Urgent Care-Monroe,215 Applegarth Road,Monroe,NJ,08831,40.30819705,-74.47283993,732-263-7922,,,https://www.clockwisemd.com/hospitals/2405/visits/new
Hackensack Meridian Urgent Care-Piscataway,1080 Stelton Road,Piscataway,NJ,08854,40.54759739,-74.42873104,848-230-6802,,,https://www.clockwisemd.com/hospitals/2418/visits/new
Hackensack Meridian Urgent Care-Toms River,9 Mule Road,Toms River,NJ,08755,39.97215704,-74.2380734,732-818-0004,,,https://www.clockwisemd.com/hospitals/1423/visits/new
Hackensack Meridian Urgent Care-Neptune City,2040 Route 33,Neptune City,NJ,07753,40.20698486,-74.04376922,732-455-5800,,,https://www.clockwisemd.com/hospitals/4063/visits/new
Houston Methodist Hospital (Medical Center),6565 Fannin St.,Houston,TX,77030,29.71127677,-95.39952486,713-790-3311,,,https://www.houstonmethodist.org/locations/texas-medical-center/
Houston Methodist Baytown Hospital,4401 Garth Rd.,Baytown,TX,77521,29.7690389,-94.9789701,281-420-8600,,,https://www.houstonmethodist.org/locations/baytown/
Houston Methodist Clear Lake Hospital,18300 Houston Methodist Dr.,Nassau Bay,TX,77058,29.56285422,-95.09284714,281-333-5503,,,https://www.houstonmethodist.org/locations/clearlake/
Houston Methodist Sugar Land Hospital,16655 Southwest Frwy.,Sugar Land,TX,77479,29.58988923,-95.63425896,281-274-7979,,,https://www.houstonmethodist.org/locations/sugar-land/
Houston Methodist The Woodlands Hospital,17201 Interstate 45 S.,The Woodlands,TX,77385,30.18885313,-95.42240141,936-270-2000,,,https://www.houstonmethodist.org/thewoodlands/
Houston Methodist West Hospital,18500 Katy Frwy.,Houston,TX,77094,29.7872555,-95.6973075,832-522-1000,,,https://www.houstonmethodist.org/locations/katy-west/
