location-name,location-contact-url-main,location-address-street,location-contact-phone-main,location-address-postal-code,location-address-region,location-address-locality
NewYork-Presbyterian Allen Hospital,https://www.nyp.org/allenhospital,5141 Broadway New York NY 10034,212-932-4000,10034,NY,New York
NewYork-Presbyterian Brooklyn Methodist Hospital,https://www.nyp.org/brooklyn,506 6th St Brooklyn NY 11215,718-780-3000,11215,NY,Brooklyn
NewYork-Presbyterian / Columbia University Medical Center,https://www.nyp.org/locations/newyork-presbyterian-columbia-university-medical-center,622 West 168th Street New York NY 10032,212-305-2500,10032,NY,New York
NewYork-Presbyterian David H. Koch Center,https://www.nyp.org/locations/david-h-koch-center,1283 York Ave. New York NY 10065,,10065,NY,New York
NewYork-Presbyterian Hudson Valley Hospital,https://www.nyp.org/hudsonvalley,1980 Crompond Road Cortlandt Manor NY 10567,914-737-9000,10567,NY,Cortlandt Manor
NewYork-Presbyterian Komansky Children's Hospital,https://www.nyp.org/komansky,"525 East 68th Street, 6th Floor New York NY 10065",212-746-5454,10065,NY,New York
NewYork-Presbyterian Lawrence Hospital,https://www.nyp.org/lawrence,55 Palmer Avenue Bronxville NY 10708,914-787-1000,10708,NY,Bronxville
NewYork-Presbyterian Lower Manhattan Hospital,https://www.nyp.org/lowermanhattan,170 William Street New York NY 10038,212-312-5000,10038,NY,New York
NewYork-Presbyterian Morgan Stanley Children's Hospital,https://www.nyp.org/morganstanley,3959 Broadway at 165th Street New York NY 10032,212-305-5437,10032,NY,New York
NewYork-Presbyterian Och Spine Hospital,https://www.nyp.org/spinehospital,5141 Broadway ,844-697-2229,10034,NY,
NewYork-Presbyterian Queens,https://www.nyp.org/queens,,718-670-2000,11355,NY,Flushing
NewYork-Presbyterian / Weill Cornell Medical Center,https://www.nyp.org/locations/newyork-presbyterian-weill-cornell-medical-center,525 East 68th Street New York NY 10065,212-746-5454,10065,NY,New York
NewYork-Presbyterian Westchester Behavioral Health Center,http://www.nyp.org/locations/newyork-presbyterian-westchester-division,21 Bloomingdale Road White Plains NY 10605,914-682-9100,10605,NY,White Plains
