web-scraper-order,web-scraper-start-url,location-name,location-address-street,location-address-locality,location-address-region,location-address-postal-code,location-contact-phone-main,location-contact-url-main
"1584768136-1726","https://www.upmc.com/locations/hospitals","UPMC Somerset","225 South Center Avenue","Somerset","PA","15501","814-443-5000","http://maps.upmc.com/findAddress.aspx?HUPMCLoc=UPMC Somerset&Hstreet=225 South Center Avenue&Hcity=Somerset&Hstate=PA&Hzip=15501&Hphone=814-443-5000"
"1584768136-1714","https://www.upmc.com/locations/hospitals","UPMC Hamot","201 State Street","Erie","PA","16550","814-877-6000","http://maps.upmc.com/findAddress.aspx?HUPMCLoc=UPMC%20Hamot&Hstreet=201%20State%20Street&Hcity=Erie&Hstate=PA&Hzip=16550&Hphone=814-877-6000"
"1584768136-1713","https://www.upmc.com/locations/hospitals","UPMC East","2775 Mosside Boulevard","Monroeville","PA","15146","412-357-3000","http://maps.upmc.com/findAddress.aspx?HUPMCLoc=UPMC%20East&Hstreet=2775%20Mosside%20Boulevard&Hcity=Monroeville&Hstate=PA&Hzip=15146&Hphone=412-357-3000"
"1584768136-1729","https://www.upmc.com/locations/hospitals","UPMC Western Psychiatric Hospital","3811 O'Hara St.","Pittsburgh","PA","15213","412-624-2100","http://maps.upmc.com/findAddress.aspx?HUPMCLoc=UPMC%20Western%20Psychiatric%20Hospital&Hstreet=3811%20O%27Hara%20Street&Hcity=Pittsburgh&Hstate=PA&Hzip=15213&Hphone=412-624-2100"
"1584768136-1711","https://www.upmc.com/locations/hospitals","UPMC Children's Hospital of Pittsburgh","One Children's Hospital Drive","Pittsburgh","PA","15224","412-692-5325","http://maps.upmc.com/findAddress.aspx?HUPMCLoc=Children%27s%20Hospital%20of%20Pittsburgh%20of%20UPMC&Hstreet=4401%20Penn%20Avenue&Hcity=Pittsburgh&Hstate=PA&Hzip=15224&Hphone=412-692-5325"
"1584768136-1712","https://www.upmc.com/locations/hospitals","UPMC Cole","1001 E. Second St.","Coudersport","PA","16915","814-274-9300","http://maps.upmc.com/findAddress.aspx?HUPMCLoc=UPMC%20Cole&Hstreet=1001%20E.%20Second%20St.&Hcity=Coudersport&Hstate=PA&Hzip=16915&Hphone=814-274-9300"
"1584768136-1727","https://www.upmc.com/locations/hospitals","UPMC St. Margaret","815 Freeport Road","Pittsburgh","PA","15215","412-784-4000","http://maps.upmc.com/findAddress.aspx?HUPMCLoc=UPMC%20St.%20Margaret&Hstreet=815%20Freeport%20Road&Hcity=Pittsburgh&Hstate=PA&Hzip=15215&Hphone=412-784-4000&_ga=1.202240536.841382226.1376404461"
"1584768136-1710","https://www.upmc.com/locations/hospitals","UPMC Chautauqua","207 Foote Avenue","Jamestown","NY","14701","716-487-0141","http://maps.upmc.com/findAddress.aspx?HUPMCLoc=UPMC%20Chautauqua&Hstreet=207%20Foote%20Avenue&Hcity=Jamestown&Hstate=NY&Hzip=14701&Hphone=716-487-0141"
"1584768136-1709","https://www.upmc.com/locations/hospitals","UPMC Bedford","10455 Lincoln Highway","Everett","PA","15537","814-623-6161","http://maps.upmc.com/findAddress.aspx?HUPMCLoc=UPMC%20Bedford&Hstreet=10455%20Lincoln%20Highway&Hcity=Everett&Hstate=PA&Hzip=15537&Hphone=814-623-6161"
"1584768136-1718","https://www.upmc.com/locations/hospitals","UPMC Magee-Womens Hospital","300 Halket Street","Pittsburgh","PA","15213","null","http://maps.upmc.com/findAddress.aspx?HUPMCLoc=Magee-Womens%20Hospital%20of%20UPMC&Hstreet=300%20Halket%20Street&Hcity=Pittsburgh&Hstate=PA&Hzip=15213&Hphone=1-866-MyMagee"
"1584768136-1724","https://www.upmc.com/locations/hospitals","UPMC Presbyterian","200 Lothrop Street","Pittsburgh","PA","15213","412-647-2345","http://maps.upmc.com/findAddress.aspx?HUPMCLoc=UPMC%20Presbyterian&Hstreet=200%20Lothrop%20Street&Hcity=Pittsburgh&Hstate=PA&Hzip=15213&Hphone=412-647-2345"
"1584768136-1728","https://www.upmc.com/locations/hospitals","UPMC Western Maryland","12500 Willowbrook Rd.","Cumberland","Maryland","21502","240-964-7000","https://goo.gl/maps/U4yZbYqm8pjXNg9v9"
"1584768136-1723","https://www.upmc.com/locations/hospitals","UPMC Passavant","9100 Babcock Boulevard","Pittsburgh","PA","15237","412-367-6700","http://maps.upmc.com/findAddress.aspx?HUPMCLoc=UPMC%20Passavant&Hstreet=9100%20Babcock%20Boulevard&Hcity=Pittsburgh&Hstate=PA&Hzip=15237&Hphone=412-367-6700"
"1584768136-1719","https://www.upmc.com/locations/hospitals","UPMC McKeesport","1500 Fifth Avenue","McKeesport","PA","15132","412-664-2000","http://maps.upmc.com/findAddress.aspx?HUPMCLoc=UPMC%20McKeesport&Hstreet=1500%20Fifth%20Avenue&Hcity=McKeesport&Hstate=PA&Hzip=15132&Hphone=412-664-2000"
"1584768136-1722","https://www.upmc.com/locations/hospitals","UPMC Northwest","100 Fairfield Drive","Seneca","PA","16346","814-676-7600","http://maps.upmc.com/findAddress.aspx?HUPMCLoc=UPMC%20Northwest&Hstreet=100%20Fairfield%20Drive&Hcity=Seneca&Hstate=PA&Hzip=16346&Hphone=814-676-7600"
"1584768136-1716","https://www.upmc.com/locations/hospitals","UPMC Jameson","1211 Wilmington Avenue","New Castle","PA","16105","724-658-9001","http://maps.upmc.com/findAddress.aspx?HUPMCLoc=UPMC%20Jameson&Hstreet=1211%20Wilmington%20Avenue&Hcity=New%20Castle&Hstate=PA&Hzip=16105&Hphone=724-658-9001"
"1584768136-1725","https://www.upmc.com/locations/hospitals","UPMC Shadyside","5230 Centre Avenue","Pittsburgh","PA","15232","412-623-2121","http://maps.upmc.com/findAddress.aspx?HUPMCLoc=UPMC%20Shadyside&Hstreet=5230%20Centre%20Avenue&Hcity=Pittsburgh&Hstate=PA&Hzip=15232&Hphone=412-623-2121"
"1584768136-1708","https://www.upmc.com/locations/hospitals","UPMC Altoona","620 Howard Avenue","Altoona","PA","16601","814-889-2011","http://maps.upmc.com/findAddress.aspx?HUPMCLoc=UPMC%20Altoona&Hstreet=620%20Howard%20Avenue&Hcity=Altoona&Hstate=PA&Hzip=16601&Hphone=814-889-2011"
"1584768136-1715","https://www.upmc.com/locations/hospitals","UPMC Horizon - Greenville","110 N. Main Street","Greenville","PA","16125","724-588-2100","http://maps.upmc.com/findAddress.aspx?HUPMCLoc=UPMC%20Horizon&Hstreet=110%20N.%20Main%20Street&Hcity=Greenville&Hstate=PA&Hzip=16125&Hphone=724-588-2100"
"1584768136-1717","https://www.upmc.com/locations/hospitals","UPMC Kane","4372 Route 6","Kane","PA","16735","814-837-8585","http://maps.upmc.com/findAddress.aspx?HUPMCLoc=UPMC%20Kane&Hstreet=4372%20Route%206&Hcity=Kane&Hstate=PA&Hzip=16735&Hphone=814-837-8585"
"1584768136-1720","https://www.upmc.com/locations/hospitals","UPMC Mercy","1400 Locust Street","Pittsburgh","PA","15219","412-232-8111","http://maps.upmc.com/findAddress.aspx?HUPMCLoc=UPMC%20Mercy&Hstreet=1400%20Locust%20Street&Hcity=Pittsburgh&Hstate=PA&Hzip=15219&Hphone=412-232-8111"
"1584768136-1721","https://www.upmc.com/locations/hospitals","UPMC Montefiore","3459 Fifth Avenue","Pittsburgh","PA","15213","412-647-2345","http://maps.upmc.com/findAddress.aspx?HUPMCLoc=UPMC%20Montefiore&Hstreet=3459%20Fifth%20Avenue&Hcity=Pittsburgh&Hstate=PA&Hzip=15213&Hphone=412-647-2345"
