web-scraper-order,web-scraper-start-url,name,pagination-item,pagination-item-href,address-street,address-locality,address-state,phone-direct,website,website-href,pagination-state,pagination-state-href,pagination-county,pagination-county-href
"1584300315-5126","https://www.countyoffice.org/health-departments/","Kern County Health Department","Kern County Health Department","https://www.countyoffice.org/kern-county-health-department-lake-isabella-ca-e4e/","7050 Lake Isabella Boulevard","Lake Isabella","California","760-549-2094","null","","California","https://www.countyoffice.org/ca-health-departments/","Kern County","https://www.countyoffice.org/ca-kern-county-health-departments/"
"1584289028-502","https://www.countyoffice.org/health-departments/","Winhall Health Officer","Winhall Health Officer","https://www.countyoffice.org/winhall-health-officer-winhall-vt-611/","3 River Road","Winhall","Vermont","802-297-2119","null","","Vermont","https://www.countyoffice.org/vt-health-departments/","Bennington County","https://www.countyoffice.org/vt-bennington-county-health-departments/"
"1584299712-4236","https://www.countyoffice.org/health-departments/","Weld County Department Of Public Health And Environment","Weld County Department Of Public Health And Environment","https://www.countyoffice.org/weld-county-department-of-public-health-and-environment-greeley-co-9d7/","1555 North 17th Avenue","Greeley","Colorado","970-304-6410","co.weld.co.us","http://www.co.weld.co.us/redesign/health/","Colorado","https://www.countyoffice.org/co-health-departments/","Weld County","https://www.countyoffice.org/co-weld-county-health-departments/"
"1584298631-3873","https://www.countyoffice.org/health-departments/","Northwest Georgia Public Health","Northwest Georgia Public Health","https://www.countyoffice.org/northwest-georgia-public-health-rome-ga-fcc/","1309 Redmond Road","Rome","Georgia","706-295-6704","nwgapublichealth.org","http://www.nwgapublichealth.org/","Georgia","https://www.countyoffice.org/ga-health-departments/","Floyd County","https://www.countyoffice.org/ga-floyd-county-health-departments/"
"1584299228-4053","https://www.countyoffice.org/health-departments/","Highlands County Health Department","Highlands County Health Department","https://www.countyoffice.org/highlands-county-health-department-sebring-fl-a7b/","7205 South George Boulevard","Sebring","Florida","863-386-6040","healthyhighlands.com","http://www.healthyhighlands.com/","Florida","https://www.countyoffice.org/fl-health-departments/","Highlands County","https://www.countyoffice.org/fl-highlands-county-health-departments/"
"1584289154-553","https://www.countyoffice.org/health-departments/","Summit County Public Health Department - Coalville Health Center","Summit County Public Health Department - Coalville Health Center","https://www.countyoffice.org/summit-county-public-health-department-coalville-health-center-coalville-ut-775/","85 50 East","Coalville","Utah","435-336-3222","summitcountyhealth.org","http://www.summitcountyhealth.org/officelocations.htm","Utah","https://www.countyoffice.org/ut-health-departments/","Summit County","https://www.countyoffice.org/ut-summit-county-health-departments/"
"1584300836-5608","https://www.countyoffice.org/health-departments/","Delta Junction Public Health Center / Interior Region","Delta Junction Public Health Center / Interior Region","https://www.countyoffice.org/delta-junction-public-health-center-interior-region-delta-junction-ak-823/","2857 Alaska Highway","Delta Junction","Alaska","907-895-4292","null","","Alaska","https://www.countyoffice.org/ak-health-departments/","Southeast Fairbanks Census Area","https://www.countyoffice.org/ak-southeast-fairbanks-census-area-health-departments/"
"1584299659-4216","https://www.countyoffice.org/health-departments/","Ridgefield Health Department","Ridgefield Health Department","https://www.countyoffice.org/ridgefield-health-department-ridgefield-ct-db3/","66 Prospect Street","Ridgefield","Connecticut","203-431-2746","ridgefieldct.org","http://www.ridgefieldct.org/content/46/6311/default.aspx","Connecticut","https://www.countyoffice.org/ct-health-departments/","Fairfield County","https://www.countyoffice.org/ct-fairfield-county-health-departments/"
"1584287621-82","https://www.countyoffice.org/health-departments/","Marathon County Health Department","Marathon County Health Department","https://www.countyoffice.org/marathon-county-health-department-wausau-wi-c14/","Ste 100, 1000 Lake View Dr","Wausau","Wisconsin","715-261-1900","null","","Wisconsin","https://www.countyoffice.org/wi-health-departments/","Marathon County","https://www.countyoffice.org/wi-marathon-county-health-departments/"
"1584299586-4184","https://www.countyoffice.org/health-departments/","Woodbury Health Department","Woodbury Health Department","https://www.countyoffice.org/woodbury-health-department-woodbury-ct-a3b/","297 Main Street South","Woodbury","Connecticut","203-266-4785","null","","Connecticut","https://www.countyoffice.org/ct-health-departments/","Litchfield County","https://www.countyoffice.org/ct-litchfield-county-health-departments/"
"1584289574-660","https://www.countyoffice.org/health-departments/","Texas Department Of Health And Human Services - Sulphur Springs","Texas Department Of Health And Human Services - Sulphur Springs","https://www.countyoffice.org/texas-department-of-health-and-human-services-sulphur-springs-sulphur-springs-tx-136/","1400 College Street","Sulphur Springs","Texas","903-885-6573","null","","Texas","https://www.countyoffice.org/tx-health-departments/","Hopkins County","https://www.countyoffice.org/tx-hopkins-county-health-departments/"
"1584287429-27","https://www.countyoffice.org/health-departments/","Big Horn County Public Health Nursing","Big Horn County Public Health Nursing","https://www.countyoffice.org/big-horn-county-public-health-nursing-greybull-wy-0ca/","417 South 2nd Street","Greybull","Wyoming","307-765-2371","null","","Wyoming","https://www.countyoffice.org/wy-health-departments/","Big Horn County","https://www.countyoffice.org/wy-big-horn-county-health-departments/"
"1584295167-2106","https://www.countyoffice.org/health-departments/","Hanover Board Of Health","Hanover Board Of Health","https://www.countyoffice.org/hanover-board-of-health-hanover-ma-a32/","550 Hanover Street","Hanover","Massachusetts","781-826-4611","hanover-ma.gov","http://www.hanover-ma.gov/health.shtml","Massachusetts","https://www.countyoffice.org/ma-health-departments/","Plymouth County","https://www.countyoffice.org/ma-plymouth-county-health-departments/"
"1584297791-3295","https://www.countyoffice.org/health-departments/","Jackson County Health Department","Jackson County Health Department","https://www.countyoffice.org/jackson-county-health-department-murphysboro-il-003/","415 Health Department Road","Murphysboro","Illinois","618-684-3143","jchdonline.org","http://www.jchdonline.org/","Illinois","https://www.countyoffice.org/il-health-departments/","Jackson County","https://www.countyoffice.org/il-jackson-county-health-departments/"
"1584289127-545","https://www.countyoffice.org/health-departments/","Southwest Utah Public Health Department","Southwest Utah Public Health Department","https://www.countyoffice.org/southwest-utah-public-health-department-st-george-ut-ffc/","620 South 400 East","St. George","Utah","435-673-3528","swuhealth.org","http://www.swuhealth.org/index.html","Utah","https://www.countyoffice.org/ut-health-departments/","Washington County","https://www.countyoffice.org/ut-washington-county-health-departments/"
"1584293983-1821","https://www.countyoffice.org/health-departments/","Gasconade-Osage County Health Department","Gasconade-Osage County Health Department","https://www.countyoffice.org/gasconade-osage-county-health-department-hermann-mo-12e/","300 Schiller Street","Hermann","Missouri","573-486-3129","gasconhealth.com","http://www.gasconhealth.com/","Missouri","https://www.countyoffice.org/mo-health-departments/","Gasconade County","https://www.countyoffice.org/mo-gasconade-county-health-departments/"
"1584293331-1662","https://www.countyoffice.org/health-departments/","McCook Health Department","McCook Health Department","https://www.countyoffice.org/mccook-health-department-mccook-ne-f7a/","1400 West 5th Street","McCook","Nebraska","308-345-6130","null","","Nebraska","https://www.countyoffice.org/ne-health-departments/","Red Willow County","https://www.countyoffice.org/ne-red-willow-county-health-departments/"
"1584292481-1360","https://www.countyoffice.org/health-departments/","New York City Health Department","New York City Health Department","https://www.countyoffice.org/new-york-city-health-department-long-island-city-ny-ee6/","4209 28th Street","Long Island City","New York","347-396-2600","null","","New York","https://www.countyoffice.org/ny-health-departments/","Queens County","https://www.countyoffice.org/ny-queens-county-health-departments/"
"1584289448-629","https://www.countyoffice.org/health-departments/","Nacogdoches Health Department","Nacogdoches Health Department","https://www.countyoffice.org/nacogdoches-health-department-nacogdoches-tx-00f/","2027 Stallings Drive North","Nacogdoches","Texas","936-569-5421","null","","Texas","https://www.countyoffice.org/tx-health-departments/","Nacogdoches County","https://www.countyoffice.org/tx-nacogdoches-county-health-departments/"
"1584288819-409","https://www.countyoffice.org/health-departments/","Town Health Officer - Morgan","Town Health Officer - Morgan","https://www.countyoffice.org/town-health-officer-morgan-morgan-vt-d7b/","41 Meade Hill","Morgan","Vermont","802-895-2927","null","","Vermont","https://www.countyoffice.org/vt-health-departments/","Orleans County","https://www.countyoffice.org/vt-orleans-county-health-departments/"
