web-scraper-order,web-scraper-start-url,location-name,location-address-street,location-contact-phone-main,location-contact-url-main,location-contact-url-main-href,location-address-locality,location-address-region,location-address-postal-code
"1584469991-7561","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=0","Pediatric Care Center at UW Medical Center-Roosevelt","4245 Roosevelt Way NE,","206.598.3000","Pediatric Care Center at UW Medical Center-Roosevelt","https://www.uwmedicine.org/locations/pediatric-care-center-uwmc-roosevelt","Seattle,","WA","98105"
"1584469982-7527","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=2","UW Medicine Orcas Island Clinic","7 Deye Lane,","360.376.2561","UW Medicine Orcas Island Clinic","https://www.uwmedicine.org/locations/orcas-island-clinic","P.O Box 1269,","Eastsound,","WA"
"1584469991-7560","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=0","Madison Clinic at Harborview","Main Hospital, West Clinic ,","206.520.5000","Madison Clinic at Harborview","https://www.uwmedicine.org/locations/madison-harborview","325 9th Ave.,","2nd Floor,","Seattle,"
"1584469982-7532","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=2","UW Neighborhood Issaquah Clinic - Primary Care and Urgent Care Services","1740 NW Maple Street, Suite 100,","425.391.3900","UW Neighborhood Issaquah Clinic - Primary Care and Urgent Care Services","https://www.uwmedicine.org/locations/primary-care-issaquah","Issaquah,","WA","98027"
"1584469986-7546","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=1","Primary Care at Northwest Outpatient Medical Center","10330 Meridian Ave. N,","206.668.4737","Primary Care at Northwest Outpatient Medical Center","https://www.uwmedicine.org/locations/northwest-primary-care-outpatient-medical-center","Suite 230,","Seattle,","WA"
"1584469986-7541","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=1","Primary & Specialty Care Center at South Lake Union","750 Republican Street,","null","Primary & Specialty Care Center at South Lake Union","https://www.uwmedicine.org/locations/south-lake-union","Building F,","Seattle,","WA"
"1584469991-7558","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=0","Highlands Clinic - Valley Medical Center","3901 NE 4th Street,","425.656.5500","Highlands Clinic - Valley Medical Center","http://www.valleymed.org/highlandspc/","Renton,","WA","98056"
"1584469991-7562","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=0","Pediatric Clinic at Harborview","Main Hospital, West Clinic ,","206.520.5000","Pediatric Clinic at Harborview","https://www.uwmedicine.org/locations/pediatrics-harborview","325 9th Ave.,","Ground,","Seattle,"
"1584469982-7538","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=2","UW Neighborhood Smokey Point Clinic","3823 172nd St. NE,","360.386.3600","UW Neighborhood Smokey Point Clinic","https://www.uwmedicine.org/locations/primary-care-smokey-point","Arlington,","WA","98223"
"1584469982-7534","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=2","UW Neighborhood Northgate Clinic","314 NE Thornton Place,","206.528.8000","UW Neighborhood Northgate Clinic","https://www.uwmedicine.org/locations/primary-care-northgate","Seattle,","WA","98125"
"1584469982-7536","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=2","UW Neighborhood Ravenna Clinic - Primary Care and Urgent Care Services","4915 25th Ave. NE,","206.525.7777","UW Neighborhood Ravenna Clinic - Primary Care and Urgent Care Services","https://www.uwmedicine.org/locations/primary-care-ravenna","Suite 300W,","Seattle,","WA"
"1584469986-7539","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=1","Pioneer Square Clinic","206 3rd Ave. S,","206.744.1500","Pioneer Square Clinic","https://www.uwmedicine.org/locations/pioneer-square","Seattle,","WA","98104"
"1584469977-7526","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=3","UW Neighborhood Woodinville Clinic - Primary Care Services","17638 140th Ave. NE,","425.485.4100","UW Neighborhood Woodinville Clinic - Primary Care Services","https://www.uwmedicine.org/locations/primary-care-woodinville","Woodinville,","WA","98072"
"1584469986-7544","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=1","Primary Care at Lake Forest Park","17191 Bothell Way NE,","206.668.8272","Primary Care at Lake Forest Park","https://www.uwmedicine.org/locations/northwest-primary-care-lake-forest-park-clinic","Suite 205,","Lake Forest Park,","WA"
"1584469991-7556","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=0","General Internal Medicine Center at UW Medical Center-Roosevelt","4245 Roosevelt Way NE,","206.598.8750","General Internal Medicine Center at UW Medical Center-Roosevelt","https://www.uwmedicine.org/locations/general-internal-medicine-center-uwmc-roosevelt","3rd Floor,","Seattle,","WA"
"1584469982-7537","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=2","UW Neighborhood Shoreline Clinic - Primary Care and Urgent Care Services","1355 N 205th St.,","206.542.5656","UW Neighborhood Shoreline Clinic - Primary Care and Urgent Care Services","https://www.uwmedicine.org/locations/primary-care-shoreline","Shoreline,","WA","98133"
